gene	uniprot	copies_per_cell_median	n_estimates
napA	P33937	2.9788472137686126	18
mrdA	P0AD65	3.8907845880381373	12
ymgG	Q7DFV3	11.955510017930983	15
hlyE	B1XA69	3.3545649326984526	21
prlF	P15373	4.620425054324951	12
celF	P17411	6.867792202451664	21
yhfK	P45537	5.756015033153908	18
araF	P02924	8.206778214015987	21
intC	P37326	8.213599581749806	18
malS	P25718	8.570668919776201	18
xylF	P37387	7.566376901855566	9
rfaS	P27126	7.710551086838559	21
gabP	P25527	7.943221339100873	21
idnO	P0A9P9	9.413092261888512	21
malK	P68187	15.496480099872173	18
amiC	P63883	15.875326104538917	21
mltC	P0C066	5.647005939539904	21
mcrB	P15005	13.184312138125925	12
ansB	P00805	10.508058055794091	18
topB	P14294	12.088239894260697	21
bcsB	P37652	14.267120366655757	15
apbE	P0AB85	11.748673111538821	21
nfrA	P31600	9.848484905978001	21
lsrB	P76142	15.372357179827262	21
pspD	P0AFV8	15.226960138232307	18
rph	P0CG19	17.813279172331196	6
hslR	P0ACG8	13.480911412206101	21
dnaE	P10443	13.65388232112692	21
ybjT	P75822	14.685212262875886	18
xylR	P0ACI3	19.325522260935166	18
tbpA	P31550	21.102952600103908	21
murR	P77245	14.894164345702306	21
yddA	P31826	13.175188609692782	21
rfaJ	P27129	17.39025501680235	21
rfaP	P25741	16.619825584519546	12
smtA	P36566	11.584889984982901	18
entD	P19925	26.08743191363385	6
yfeA	P23842	15.430187880974124	15
frc	P69902	17.556713894686588	18
recJ	P21893	17.101079964478355	21
rmuA	P13458	18.225925585176363	18
glpD	P13035	18.543933935905343	21
eptB	P37661	18.74171274097472	21
ydaM	P77302	22.653473641630693	21
dnaQ	P03007	16.593585926122387	12
codB	P0AA82	31.48971298915211	18
recB	P08394	18.813313351092056	21
evgS	P30855	21.660075373723544	21
yjiY	P39396	17.94402187545934	21
priA	P17888	16.988071185718496	18
rsmF	P76273	18.421463534879923	21
radC	P24230	14.326370623007588	21
flrD	Q46877	17.2340495313464	18
gfcE	P0A932	16.949522340278357	18
rutR	P0ACU2	35.69941267563519	21
kdtA	P0AC75	27.02246930093414	21
yjhG	P39358	11.198598207753925	21
ybhO	P0AA84	18.105469550406966	12
yieH	P31467	21.686006548870296	21
rnfC	P77611	22.797280383646083	21
nth	P0AB83	35.28154721195539	15
agaV	P42904	25.008618155694055	21
rfaZ	P27241	23.982185231733794	21
csgD	P52106	18.002648589435452	18
yliE	P75800	20.8667802133956	21
intF	P71298	34.29320949059145	12
yfdX	P76520	30.233694852959687	15
wbbL	P36667	27.090946996927393	18
yliI	P75804	36.313680147041325	18
phr	P00914	23.915135008203496	15
phoA	P00634	21.67759999800674	18
yraQ	P45468	48.38646618501076	18
rhlE	P25888	47.5735955019758	21
ybhR	P0AFP9	29.819233565161326	18
frdB	P0AC47	39.40383138345086	21
elaC	P0A8V0	28.10134491891653	21
yeaP	P76245	29.6578934397852	21
baeS	P30847	24.223010004595764	18
genR	P36771	26.94981921510496	21
rumA	P55135	36.246804068675615	21
cim	P19934	22.35578571683157	21
insE1	P0CF66	33.986633252183225	18
menF	P38051	27.879655771464638	21
exo	P38506	27.948414149329714	18
ydbH	P52645	28.838648749328225	21
rfa-2	P24173	30.30849391980681	21
potH	P31135	34.91548173770084	21
ravA	P31473	40.9224012438025	21
hsdR	P08956	34.38974876083717	21
dctA	P0A830	65.48453551506866	21
mlaB	P64602	38.97997378097814	18
yceA	P24188	112.8667542439814	18
yejF	P33916	21.060194688036564	21
miaB	P0AEI1	164.6016592804994	18
maoA	P46883	34.85536924936032	21
murQ	B1XA99	45.95229369960583	21
sstT	P0AGE4	39.140055366651545	18
ampH	P0AD70	45.691403401236045	18
yegV	P76419	36.878602703713625	21
mel-7	P06720	39.30512662020654	21
yajI	P46122	41.11794845678338	21
yfhK	P52101	27.201940555293007	15
ugpC	P10907	40.311920727130186	15
ybbP	P77504	13.768693534728635	18
amiB	P26365	40.41066697863011	21
queD	P65870	28.867806540426884	18
rbsA	P04983	46.588631560230844	21
ybiO	P75783	32.624652485014224	21
yejA	P33913	39.28116323648455	18
ebgR	P06846	41.602980856898476	21
recD	P04993	38.774819746894494	21
farR	P13669	42.48808154193205	18
xylA	P00944	40.339980096754765	21
hydG	P14375	36.34660432780189	21
rlmA	P36999	51.571778947527335	21
rnd	P09155	36.583820563081034	9
rfaI	P27128	61.727618296148584	21
rffT	P56258	45.63347917430079	21
rlmG	P42596	62.05266703563252	21
hslV	P0A7B8	42.81314133360168	21
dnaG	P0ABS5	47.603760449672095	18
yegR	P76406	55.35998372002045	21
trxC	P0AGG4	55.44493030264749	15
btuR	P0A9H5	48.45955222569083	18
yheT	P45524	48.85002758288725	21
yedY	P76342	53.815012087421294	21
antO	P0A9G2	48.58027896015227	18
ycjW	P77615	48.21011937195483	21
treR	P36673	49.58894708842567	18
rfaB	P27127	53.29935264643777	21
mmuP	Q47689	65.26871429623793	18
nanA	P0A6L4	50.90993158823329	21
ybjS	P75821	39.371849775406304	18
ybbO	P0AFP4	58.59731400000986	18
tdcE	P42632	41.81736530890874	21
yehT	P0AFT5	45.648645518951916	18
ytfJ	P39187	100.12282733230823	18
fdhE	P13024	55.10755635487977	18
alsR	P0ACS7	56.999013862122894	18
menA	P32166	73.21629904329593	21
gntU	P0AC96	54.305490980326866	9
gcvA	P0A9F6	46.85434734075636	21
ycdB	P31545	42.53932987542882	21
yeaJ	P76237	44.232245691688895	21
yigZ	P27862	55.97916351867362	21
glpQ	P09394	51.24077359287624	21
ypfH	P76561	61.36625079495803	18
fadD	P69451	63.150546436347554	21
hipB	P23873	58.663197472589324	9
yaiW	P77562	59.21167811246669	21
fadI	P76503	58.66817482875035	18
lip	P60716	84.19399803583062	18
puuR	P0A9U6	92.97004939966997	15
yceG	P28306	75.2282850342217	21
tdk	P23331	57.980843076060495	15
ynbE	P64448	70.20676792039166	21
ftsI	P0AD68	74.71281035133592	18
yhdP	P46474	46.34241217509967	21
yrfF	P45800	59.339054980866564	21
sapD	P0AAH4	61.80948889537336	21
yfiC	P31825	73.1330876553683	21
pyrE	P0A7E3	64.39595458361451	21
rhtC	P0AG38	44.348178644858194	18
mlc	P50456	61.71073418374819	18
yifL	P0ADN6	88.82315342030635	15
yegW	P0ACM5	59.590155132767286	21
rpmJ2	Q2EEQ2	60.82865609531731	15
ydcS	P76108	93.68917359923529	21
lptC	P0ADV9	74.4477100779352	21
ynfC	P67553	60.24453205680281	18
ind	P0A853	74.71167666881067	21
phoQ	P23837	62.87414238123714	21
barA	P0AEC5	63.44772865579233	21
rfaQ	P25742	66.44400188200589	21
cueR	P0A9G4	71.10891865551898	18
yagE	P75682	77.9134900817225	21
mobB	P32125	66.60565246152963	21
kdpD	P21865	64.6191823524112	21
ycjY	P76049	62.89066031209644	21
ulaR	P0A9W0	53.11053341895113	21
cra	P0ACP1	67.37869077216753	18
asuC	P07649	53.709457747104146	21
ygeR	Q46798	65.55799343337982	21
rep	P09980	50.63840623004847	21
hrpA	P43329	83.99400018370564	21
yfdI	P76507	88.63456377206097	21
rfaK	P27242	86.6810110643292	21
yjdI	P0AF59	118.61544334815548	15
yeeR	P76361	101.50616482156812	15
yebR	P76270	91.89998758152528	15
ampA	P00811	85.88320992912632	21
hexR	P46118	91.24603842184611	21
yhbP	P67762	52.98905611441981	18
macB	P75831	66.26217729660198	21
hemN	P32131	80.21937001825515	21
apk	P08660	85.20181765340547	18
yjiN	P39385	31.742970739419878	18
genX	P0A8N7	35.45740651542782	15
flaF	P04949	62.18653184194174	21
ypeB	P0AD40	82.14259615959871	12
ynaI	P0AEB5	71.37756941340086	18
cutF	P40710	84.0757152814698	21
yhjK	P37649	76.74611428839269	21
mdoB	P39401	81.7457060366044	21
dcrA	P0AAD6	92.46244589660017	21
relB	P0C079	63.333964182916546	21
ytfQ	P39325	103.08320365841232	21
mrcA	P02918	103.29000766989054	21
mlt	P0A935	84.33374179328237	21
ybiH	P0ACU0	110.66303881772082	15
ybhL	P0AAC4	154.79101739428853	18
mhpE	P77580	74.88871357778797	18
pbpG	P0AFI5	91.00599689752823	18
ynaE	P76073	105.54334728656977	21
mviM	P75931	68.75279011343598	21
yciM	P0AB58	81.93801926178077	21
amiD	P75820	164.60551954415934	18
ybdG	P0AAT4	81.63307405720742	21
ygiT	Q46864	28.03394865586163	21
pabC	P28305	83.58765364983799	15
yoaF	P64493	90.36115133892092	18
sfs1	P0A823	93.3504360641102	21
ftsL	P0AEN4	80.65130328877049	18
dcm	P0AED9	70.82096480906453	21
tau	P16525	91.65637458902528	21
ybjX	P75829	116.4086427858125	21
yjbB	P0AF43	92.18588562651479	18
aceC	P0ACL9	98.57160254950857	21
ycgB	P29013	100.79644602308561	21
rihA	P41409	120.08580773792292	18
aarF	P0A6A0	98.98301401774725	21
yjhC	P39353	113.09027143418604	21
yncD	P76115	100.12586835688262	21
yhdE	P25536	99.20121456713295	18
yeaY	P0AA91	103.1549466096862	21
JW5917/JW5920	P14376	86.50965677671863	21
ygjM	P67701	95.34922535705877	12
ybjL	P60869	78.03988555785529	21
yhiG	P37624	97.45074373664482	21
yjjV	P39408	81.0121044354908	12
cstA	P15078	130.93120256656397	21
spoT	P0AG24	98.09985847725198	21
cspG	P0A978	326.1411968387033	15
plsX	P27247	98.31896967281811	21
aefA	P77338	98.9907778283673	21
yagH	P77713	69.63533612457132	21
yddH	P76121	85.50534806342867	21
ybhP	P0AAW1	75.63218458483125	18
yfdC	P37327	97.07888548790231	21
yhiN	P37631	114.68797685291099	21
rnfE	P77179	101.2223182239718	21
yeaH	P76235	100.82859907966821	21
ymdF	P56614	83.83069888983584	18
yafN	Q47156	111.73915198265851	18
galB	P09148	106.19098365468848	21
aas	P31119	102.6425455978569	21
yhiR	P37634	113.25209659037439	21
phoT	P07654	103.96965481454596	21
yafK	P0AA99	104.21917214092731	21
hypB	P0AAN3	104.83625030863331	21
ybaA	P0AAQ6	88.46237183630883	18
yfhA	P0AFU4	76.73910915703247	21
msbA	P60752	112.67506369049855	21
ybaL	P39830	125.747136782015	21
hemH	P23871	114.39240150349897	21
mazG	P0AEY3	110.21194267870935	21
nudJ	P0AEI6	101.67901092245113	21
rbsD	P04982	125.40102688379007	15
ydcW	P77674	113.60814632580657	21
idnD	P39346	79.50384667883583	21
ydeJ	P31131	86.55983896645671	21
yedX	P76341	108.5459864590332	21
glpK	P0A6F3	106.91454147108631	21
mraY	P0A6W3	117.53628572364593	21
marC	P0ACS2	90.79669439153851	21
ynjE	P78067	135.38569580219914	21
appA	P07102	109.38382925355904	21
feoA	P0AEL3	112.57743599666053	9
fadE	Q47146	151.39023360641957	21
yeiU	P76445	174.53174015183447	18
deoR	P0ACK5	99.27056195424204	21
gpp	P25552	136.0007371410512	21
ydbK	P52647	149.0567123806575	21
ftsQ	P06136	84.33484862249668	21
trmD	P0A873	111.33028360114008	21
visC	P25535	80.39331887517929	21
alsB	P39265	137.23562187673173	21
ybiU	P75791	131.4902019846329	21
xseA	P04994	150.89242955762788	21
frdA	P00363	156.21224528720902	21
rluF	B1XC21	85.38750961486794	21
iscA	P0AAC8	441.0504105334598	15
hsdS	P05719	121.70717053182567	21
yeeF	P0AA47	87.72043122722167	21
mreC	P16926	131.4464978924854	21
ispU	B1XD43	129.52290239865772	21
yhjU	P37659	117.07105634721184	21
kch	P31069	115.54067803686902	21
csdA	Q46925	132.22245226141243	21
ptsP	P37177	91.79261811799346	21
argR	P0A6D0	126.1444962535412	18
yghZ	Q46851	114.92124543570174	21
bioB	P12996	217.50080956217883	18
uvrC	P0A8G0	137.93404891111587	21
pqi5B	P43671	124.92890660105283	21
ldc	P52095	116.05611931657705	21
pspF	P37344	97.85774326881761	21
chiA	P13656	125.07910410804624	21
rnhB	P10442	187.7016868531954	18
gatD	P0A9S3	166.7699428307855	21
appR	P13445	177.3072569608455	18
gntK	P46859	117.73394659858306	21
chpA	P0AE70	126.44041628497216	21
aspA	P0AC38	159.74339266465864	21
gltJ	P0AER3	147.23734304216345	15
yebG	P0ACY9	130.04300091017816	21
yobH	Q2MB16	172.09303434642035	21
pcsA	P25740	110.10462474526405	21
citB	P0AEF4	111.79168779035308	18
dnaC	P0AEF0	71.29997711468077	21
spy	P77754	131.05235570677695	21
pgpB	P0A924	115.50723918657499	18
hnr	P0AEV1	110.35296821728205	21
fimH	P08191	117.5792654550662	21
eutC	P19636	98.60848071080447	21
ybhK	P75767	137.29759590734446	21
fadB	P21177	133.32843448526572	21
qor2	P39315	152.42903197389768	21
modE	P0A9G8	80.26338221571218	21
zntA	B1X7S7	180.56520893966385	21
rlmM	P0ADR6	135.960731851416	21
hflX	P25519	109.3157051582985	21
narZ	P19319	110.474041651394	21
nadA	P11458	151.9173343880549	21
yibP	P37690	102.01687329160326	21
yeiR	P33030	134.75748666871527	21
narP	P31802	156.30636566241796	21
yciH	P08245	96.3977521130465	21
oppF	P77737	216.84125155383836	21
ftsJ	B1XGY9	139.99016885621702	21
djlA	P31680	116.46137101332769	21
bioR	P06709	179.5596772849258	21
cyr	P0AGK1	137.6139685949318	18
yfjG	P0AGL5	152.52774032367284	21
ybhF	P0A9U1	157.38760735518508	21
xylB	P09099	125.0916754290908	21
yecJ	P0AD10	107.81076917604183	21
bisC	P20099	127.29755617555493	21
ttcA	P76055	159.74934220272146	21
truD	Q57261	195.24401878160356	21
smpB	P0A832	164.0536970946938	12
ade	P31441	134.45211542709143	18
sufE	P76194	137.24625869528978	21
uxuR	P39161	148.84774577909963	21
malY	P23256	139.7381178157447	21
ampD	P13016	166.4281441751898	18
mlaE	P64606	178.75536581259476	21
ycbX	P75863	148.33246673861703	21
bisA	P30745	158.820201225267	21
pcnB	P0ABF1	212.92208310651503	21
yjjA	P18390	195.14476624646284	18
blc	P0A901	156.40960182526672	21
parC	P0AFI2	263.78027191493675	21
fsa	P78055	128.26172197670286	21
ppx	P0AFL6	180.25267552048575	21
mttA2	P69425	193.39056037020015	21
dedD	P09549	150.21270004760433	21
rfaY	P27240	229.91088693830716	21
aidB	P33224	179.427180876614	21
mrr	P24202	134.34198197019487	18
ppk	P0A7B1	181.08981542306518	21
lamB	P02943	305.9808759786803	21
cvrA	P76007	140.36090656982265	21
aphA	P0AE22	162.23051476947919	21
dnaT	P0A8J2	140.7384407457276	21
nemA	P77258	211.0481151457297	21
ascG	P24242	170.12415598721503	21
ddpA	P76128	235.6236203131872	21
pqqL	P31828	152.56568140265912	21
qseB	P52076	167.8883850599461	21
ynjB	P76223	161.68402766533944	21
ybjI	P75809	159.33434353324105	21
rffM	P27836	167.7323226535375	21
ybdF	P0AAT2	123.86375025754471	15
ytfN	P39321	153.53136638674042	21
ptrB	P24555	157.68104295215605	21
feoB	P33650	194.57780049093375	21
ybdR	P77316	165.27934295401113	18
yhjD	P37642	160.5146322101789	21
yebE	P33218	152.88492409496718	21
yfgC	P66948	164.25833551974569	18
yfcG	P77526	153.44515226771756	21
ftsK	P46889	128.10067607392975	21
yrdB	P45795	159.32897059490227	15
mltB	P41052	156.37791919623874	21
mgtA	B1XEM3	218.70187085806762	21
yqjC	P42616	175.2529821211267	18
malA	P15977	187.80860598229393	21
yedQ	P76330	156.1862954944983	21
alnB	P29012	123.27901903729276	21
mdtF	P37637	185.56875906190353	21
tesC	P77712	229.77089554857858	18
pabB	P05041	195.18745631224496	15
malM	P03841	257.44946429477795	18
yhjF	P37645	179.40756466648946	21
truB	P60340	205.57290066019618	21
rlmL	P75864	253.94977017427502	21
edd	P0ADF6	161.11469938579629	21
artQ	P0AE34	220.63610207129142	21
ogt	P0AFH0	142.92930556138407	21
ylaB	P77473	191.65303995333696	12
cydD	P29018	204.42539222883107	18
yhcM	P64612	151.77169249097682	21
pdxY	P77150	224.41979931102685	18
mrcB	P02919	177.75197890489747	21
mdtA	P76397	186.1845575251844	21
dnaX	P06710	143.17739464162756	21
cpxA	P0AE82	186.41195922476663	21
yiaD	P37665	267.7674800641707	21
argM	P77581	194.2403375819698	21
fimD	P30130	153.15171284417286	21
uhpA	P0AGA6	160.72217661945567	21
parF	P26647	199.54327996928512	21
yhbO	P45470	210.36620003714526	21
ribF	P0AG40	238.6536917679027	21
tatE	B1X622	162.41659913406926	18
rlmH	P0A8I8	162.35559223668469	21
emtA	P0C960	194.48049633897728	21
yojI	P33941	195.86760001902655	21
yjeP	P39285	195.96938312979273	21
radA	P24554	156.34513348986513	21
yddB	P31827	173.07204640357966	21
greB	P30128	160.2072272758047	21
ugpQ	P10908	188.83179939353667	21
ubiF	P75728	120.36606854349546	15
rob	B1XFK6	225.88022225695067	18
dicA	P06966	193.41314653424584	21
yebT	P76272	193.66058053723035	21
fepC	P23878	163.276626220186	21
gsiA	P75796	146.95546219310688	21
kefG	P0A756	174.15116265281353	21
ycaK	P43340	214.1163164762873	21
garK	P23524	200.60099415671007	15
frlR	P45544	165.58240548008013	21
ispA	P22939	201.20686749764144	21
yfiH	P33644	203.80235286433356	21
slmA	P0C093	226.82089865771627	18
yiiQ	P32160	195.4093645528924	21
fadL	P10384	266.43328509247686	21
dinE	P0A698	196.29094316339706	21
dinJ	Q47150	223.06452011054017	18
rnpA	P0A7Y8	187.92100811792625	21
lplA	P32099	207.45872771463243	9
hydN	P0AAK4	118.99380338301599	15
hsc	P0A6Z1	138.77368396408158	21
patA	P42588	181.69361024787258	21
yggU	P52060	224.46595859233668	21
nlpD	P0ADA3	211.22700687527188	21
potB	P0AFK4	219.16196138255802	21
ygiB	P0ADT2	355.48089755392766	18
psiF	P0AFM4	158.18895225629888	21
yafJ	Q47147	222.39102264514608	21
yaeR	P52096	189.6795805265034	21
ydhS	P77148	211.48221878444423	21
yafC	P30864	210.11094690827346	18
celA	P69795	180.46076671441185	21
ycaO	P75838	254.46359738105727	21
ygaP	P55734	185.83469856078503	21
uspC	P46888	210.35950746108173	21
mqo	P33940	223.56270766325318	21
rlmN	P36979	233.085677658124	21
dusA	P32695	233.88926796134731	21
yjcC	P32701	265.4482099037707	21
tatA	B1XAK0	225.54168520451037	21
ycbB	P22525	162.06414100766813	21
rffG	P27830	229.3344967456436	21
yfdH	P77293	258.22867669795187	21
mutL	P23367	151.33692680914137	21
cueO	P36649	343.31893882114275	21
poaA	P09546	156.71926865388434	21
ycbG	P0A8N0	237.02893541394982	21
racR	P76062	118.26499578894654	21
bioB	P13001	196.09671934119498	21
holC	P28905	271.650784363889	15
hdfR	P0A8R9	147.229129474594	21
rimO	P0AEI4	234.0705683716298	21
ycfH	P0AFQ7	249.38057764831805	21
uxaB	P0A6L7	162.64830437131894	21
mutU	P03018	154.88144300298953	21
ydiJ	P77748	340.7230243115358	21
gidB	P0A6U5	276.1409323709197	21
rluC	P0AA39	374.6920522442071	21
hlyT	P0AFW0	243.91643762527275	21
lepB	P00803	245.77561771786125	21
exuR	P0ACL2	257.93970551673357	21
htpX	P23894	156.71210960756994	21
nuoI	P0AFD6	294.2942810340135	21
gatC	P69831	359.4687708279147	21
ydhF	P76187	294.8696532291545	21
rof	P0AFW8	170.17139881477317	21
dnaA	P03004	251.12619683005428	21
gltL	P0AAG3	230.67555728620698	21
ispD	Q46893	254.36763209892865	21
cobT	P36562	178.7548582829984	21
yfdZ	P77434	161.31571159394755	21
aldB	P37685	237.51776855777058	21
sapF	P0AAH8	202.98381184533207	21
purN	P08179	363.047044707515	21
sapA	Q47622	234.72479488277955	21
ypjD	P64432	254.39300276117962	21
nagK	P75959	216.34157633909462	18
rcnR	P64530	226.69290396877983	21
queA	P0A7F9	191.2656948118205	21
emrA	P27303	317.0313507122802	21
hha	P0ACE3	356.5231791130658	12
ypfJ	P64429	345.5819730183991	21
ftsN	P29131	229.17391619350627	21
ompW	P0A915	335.1302238910962	18
tolR	P0ABV6	306.42741466593884	21
mglB	P0AEE5	530.9578320021673	21
cpeA	P04995	260.04066735463215	21
relE	P0C077	299.2586305991927	21
ispH	B1XBF4	330.5318101788584	21
mliC	P28224	301.0920011955559	18
rffD	P27829	275.790940507722	21
fadA	P21151	228.57233477767483	21
yfhM	P76578	258.69048459731914	21
yohE	P33368	236.83072303802126	21
yqjI	P64588	319.3330915182127	21
alr	P0A6B4	227.72974328297445	21
yecL	P52007	281.7890714396621	15
yheS	P63389	293.68716305810204	21
yraR	P45469	228.80924738858624	21
dcuR	P0AD01	201.67348671601022	21
exrA	P0A7C2	293.410382022372	21
glxB5	P77364	286.0083491343925	15
ruvA	P0A809	269.1906128034452	18
rsxG	B1XFU3	257.1958675931256	21
kefF	P0A754	245.48742751548403	15
coaA	P0A6I3	251.2218974779672	21
gsk	P0AEW6	288.74147628458024	21
ypdB	P0AE39	208.13045128271898	21
glnE	P30870	249.02861716082765	21
mlaD	P64604	319.33412168042366	21
mppA	P77348	344.3876611055102	21
dsdA	P00926	322.35520991489204	21
ydcQ	P67697	334.7514460228428	21
hsdM	P08957	300.47312456821345	21
helD	P15038	203.7779250100686	21
glnD	P27249	281.5275960670395	21
yicH	P31433	355.90032209280815	21
galP	P0AEP1	324.72162834849456	21
malE	P0AEX9	440.4797426838669	21
ykgC	P77212	285.1803489761298	21
yrbL	P64610	290.0923689243727	12
msbB	P24205	320.1638420613066	21
supX	P06612	467.4273771850389	21
yggG	P25894	453.3295737027453	21
kicB	P60293	265.7627297440897	21
fpr	P28861	291.1583375322953	21
