gene	uniprot	mass_fraction_median	n_libraries
aas	P31119	7.6633375e-05	30
accA	P0ABD5	0.00048739020000000005	30
accB	P0ABD8	0.0006540884000000001	30
accC	P24182	0.00086334485	30
accD	P0A9Q5	0.00054385365	30
aceA	P0A9G6	0.0004847235	30
aceB	P08997	0.0004007861	30
aceE	P0AFG8	0.003647259	30
aceF	P06959	0.002331718	30
aceK	P11071	9.878342e-05	6
ackA	P0A6A3	0.0005882754	30
acnA	P25516	0.00053747585	30
acnB	P36683	0.008448882	30
acpP	P0A6A8	0.0037172925000000002	30
acpS	P24224	1.926717e-05	29
acpT	P37623	2.800538e-05	28
acrA	P0AE06	0.0005357235000000001	30
acrB	P31224	0.00034881375	30
acrF	P24181	1.4724405e-06	30
acrR	P0ACS9	1.1788755e-05	18
acs	P27550	0.0016441625	30
actP	P32705	0.0001967774	25
add	P22333	6.6232645e-05	30
adeD	P31441	3.520875e-05	25
adeP	P31466	0.00020332835	22
adhE	P0A9Q7	0.002770514	30
adhP	P39451	0.00016319565	20
adk	P69441	0.000956862	30
aegA	P37127	1.3555295e-06	26
aer	P50466	0.001121596	18
agaR	P0ACK2	4.641862e-05	29
agp	P19926	9.531176e-05	30
ahpC	P0AE08	0.0052359355	30
ahpF	P35340	0.00058096415	30
ahr	P27250	0.00012229565	30
ais	P45565	8.636218e-05	16
alaA	P0A959	0.0001965604	30
alaC	P77434	6.2052045e-05	30
alaS	P00957	0.001580148	30
aldA	P25553	0.0016040450000000001	30
aldB	P37685	0.0001251122	27
alkB	P05050	9.205213e-06	25
allB	P77671	0.00019244385	8
allC	P77425	6.420364e-05	6
allE	P75713	6.073453e-05	24
allR	P0ACN4	0.00013221955000000001	30
alr	P0A6B4	4.2961755e-05	30
alsB	P39265	1.204956e-05	29
alx	P42601	1.332942e-05	7
amiA	P36548	2.834831e-05	29
amiB	P26365	5.328654e-05	27
amiC	P63883	3.963532e-05	30
amiD	P75820	9.8578035e-06	24
amn	P0AE12	0.0005800732	30
ampC	P00811	1.282532e-05	29
ampG	P0AE16	2.800138e-05	5
ampH	P0AD70	3.3161225e-05	20
amtB	P69681	1.83595e-05	4
amyA	P26612	8.703825e-05	29
anmK	P77570	8.454889e-05	21
ansA	P0A962	5.702874e-05	30
ansB	P00805	0.000791481	17
apaG	P62672	4.3654165000000004e-05	20
apaH	P05637	5.595254e-05	30
aphA	P0AE22	5.5314805e-05	26
appA	P07102	8.1325025e-06	28
appC	P26459	9.8384285e-05	4
apt	P69503	0.00025669894999999997	30
araA	P08202	5.091989e-05	9
araB	P08204	2.589147e-05	9
araC	P0A9E0	4.295683e-05	7
araF	P02924	8.5559775e-07	22
araG	P0AAF3	5.602605e-05	23
araH	P0AE26	3.7033665e-05	14
arcA	P0A9Q1	0.00098620025	30
arcB	P0AEC3	0.00018731679999999998	30
argA	P0A6C5	0.000434004	25
argB	P0A6C8	0.00047943495	30
argC	P11446	0.0002191808	25
argD	P18335	0.0011823505	28
argE	P23908	0.0003859189	30
argF	P06960	0.0002755984	29
argG	P0A6E4	0.0022697435	30
argH	P11447	0.00065049795	30
argI	P04391	0.0005115174	27
argP	P0A8S1	0.00012725295	30
argR	P0A6D0	0.0001222882	30
argS	P11875	0.0005436466500000001	30
argT	P09551	0.0005964059	29
arnA	P77398	0.0001507461	27
arnB	P77690	0.0004293263	18
arnC	P77757	0.0001203371	17
arnD	P76472	8.188525e-06	13
aroA	P0A6D3	0.00037128745000000003	30
aroB	P07639	0.00013522289999999998	30
aroC	P12008	0.00036835454999999996	30
aroD	P05194	8.194549e-05	30
aroE	P15770	8.043474e-05	30
aroF	P00888	0.000341193	27
aroG	P0AB91	0.0010258475	30
aroH	P00887	0.0001141704	30
aroK	P0A6D7	0.0003941424	30
aroL	P0A6E1	5.7908944999999993e-05	30
aroP	P15993	0.0003682886	25
arsC	P0AB96	1.598298e-05	21
artI	P30859	0.0005144171	30
artJ	P30860	0.001154203	30
artM	P0AE30	1.4590075e-05	12
artP	P0AAF6	9.754339e-05	30
artQ	P0AE34	2.00394e-05	26
asd	P0A9Q9	0.00185584	30
asmA	P28249	5.0146965e-05	30
asnA	P00963	0.0002280749	30
asnB	P22106	0.0004134023	30
asnC	P0ACI6	2.209275e-05	29
asnS	P0A8M0	0.001069014	30
aspA	P0AC38	0.00013758215	30
aspC	P00509	0.002558301	30
aspS	P21889	0.0015202115	30
astA	P0AE37	4.2098685e-05	16
astB	P76216	5.572531e-05	19
astC	P77581	0.0003668259	25
astD	P76217	6.858255e-05	22
astE	P76215	1.602861e-05	19
atoC	Q06065	1.981211e-05	13
atpA	P0ABB0	0.0040724025	30
atpB	P0AB98	8.18859e-05	30
atpC	P0A6E6	0.0006538424000000001	30
atpD	P0ABB4	0.0028121605	30
atpE	P68699	0.0018359639999999998	30
atpF	P0ABA0	0.00074466945	30
atpG	P0ABA6	0.0008357896	30
atpH	P0ABA4	0.0004115508	30
avtA	P09053	0.0003548697	29
azoR	P41407	8.528005e-05	30
baeR	P69228	3.6622600000000004e-05	30
baeS	P30847	1.8004475e-05	12
bamA	P0A940	0.001822359	30
bamB	P77774	0.00044019765000000003	30
bamC	P0A903	0.0003843412	30
bamD	P0AC02	0.00043044055	30
bamE	P0A937	0.0001318644	30
barA	P0AEC5	1.9594765000000002e-05	30
basR	P30843	9.9065715e-05	28
basS	P30844	0.0003973332	16
bax	P27297	6.4881025e-05	4
bcp	P0AE52	0.0005887427	30
bcsB	P37652	7.473342e-05	28
bcsC	P37650	1.39705e-05	23
bcsE	P37657	5.407382e-05	9
bcsG	P37659	2.457279e-05	29
bcsZ	P37651	2.8455489999999998e-05	4
bdcR	P39334	1.434791e-05	28
bepA	P66948	0.000147033	30
betA	P17444	4.097461e-05	13
betB	P17445	0.0001124281	30
betT	P0ABC9	0.0001040804	15
bfr	P0ABD3	0.0002286185	29
bglA	Q46829	0.0002688943	30
bglX	P33363	0.00017145624999999998	30
bhsA	P0AB40	7.199074e-06	10
bioA	P12995	4.8780220000000006e-05	24
bioB	P12996	0.0002437755	23
bioD	P13000	9.342772e-05	25
bioF	P12998	3.0827035000000004e-05	24
bioH	P13001	2.117605e-05	11
bipA	P32132	0.0013125839999999999	30
birA	P06709	2.2201710000000002e-05	30
bisC	P20099	6.0163895e-05	30
blc	P0A901	3.332321e-05	21
bluF	P75990	4.616707e-05	5
bluR	P75989	2.6688635000000003e-05	26
bolA	P0ABE2	0.0002085447	29
borD	P77330	0.001263781	29
brnQ	P0AD99	7.256132e-05	20
bsmA	P39297	1.826222e-05	9
btuB	P06129	0.00036336525	30
btuD	P06611	2.134767e-05	21
btuE	P06610	0.0001438795	30
btuR	P0A9H5	3.20606e-05	30
cadA	P0A9H3	6.194492e-05	4
can	P61517	0.0008224932	30
carA	P0A6F1	0.0009187162500000001	30
carB	P00968	0.0025861585	30
cbl	Q47083	5.146169e-05	19
cbpA	P36659	7.7988415e-05	30
cca	P06961	4.0981049999999996e-05	30
ccmE	P69490	1.996271e-05	23
ccmF	P33927	7.6084695e-05	12
ccmG	P0AA86	9.034978e-06	19
ccmH	P0ABM9	2.860967e-05	27
cdd	P0ABF6	9.535380000000001e-05	30
cdh	P06282	2.224555e-05	29
cdsA	P0ABG1	0.00013690685000000003	30
cedA	P0AE60	1.087984e-05	23
cfa	P0A9H7	0.0003202215	29
chaA	P31801	0.00030014095	22
chaB	P0AE63	3.8341455e-05	16
chbB	P69795	8.081547e-06	29
cheA	P07363	0.0006386155	18
cheB	P07330	0.0001444349	19
cheR	P07364	2.5431710000000003e-05	16
cheW	P0A964	0.00039425935	24
cheY	P0AE67	0.000247476	25
cheZ	P0A9H9	0.0003466471	17
chpB	P33647	6.824351e-06	3
cirA	P17315	3.22704e-05	27
clcB	P76175	3.3609855e-06	20
clpA	P0ABH9	0.001391156	30
clpB	P63284	0.001324328	30
clpP	P0A6G7	0.00027828855	30
clpX	P0A6H1	0.0006854751	30
clsA	P0A6H8	9.190890499999999e-05	30
cmk	P0A6I0	0.0001123695	30
cmoA	P76290	3.731764e-05	30
cmoB	P76291	4.3981349999999995e-05	30
cnu	P64467	1.090229e-05	30
coaA	P0A6I3	6.092167e-05	30
coaD	P0A6I6	2.3130784999999998e-05	30
coaE	P0A6I9	2.2501135000000003e-05	30
cobB	P75960	0.00012458804999999998	30
cobS	P36561	2.560085e-05	28
cobT	P36562	2.0915474999999998e-05	28
codA	P25524	0.00024545204999999997	30
codB	P0AA82	9.423404e-05	23
comR	P75952	6.0751e-05	7
copA	Q59385	0.0003480161	30
corA	P0ABI4	8.742053e-05	30
cpdA	P0AEW4	3.6373325e-05	30
cpdB	P08331	0.00013465365	30
cpoB	P45955	0.00033816485000000003	30
cpxA	P0AE82	4.842309e-05	30
cpxP	P0AE85	5.861811e-05	19
cpxR	P0AE88	0.00031753535	30
cra	P0ACP1	9.273250999999999e-05	30
creA	P0AE91	5.354882e-05	30
crl	P24251	0.00012551695	30
crp	P0ACJ8	0.00064588925	30
crr	P69783	0.0018035045	30
csdA	Q46925	3.010714e-05	29
csdE	P0AGF2	2.195413e-05	29
csgC	P52107	3.62929144e-05	4
csgD	P52106	8.163003e-05	3
csgF	P0AE98	0.000157338	3
csiD	P76621	5.0596214999999996e-05	24
csiE	P54901	4.855659e-05	3
csiR	P37338	9.0647265e-06	6
cspA	P0A9X9	0.0001186885	29
cspB	P36995	5.3808635e-07	4
cspC	P0A9Y6	0.001998208	30
cspD	P0A968	0.0002094354	29
cspE	P0A972	0.0016057430000000002	30
cspG	P0A978	3.538894e-06	29
csrA	P69913	0.000199878	15
cstA	P15078	0.0003667675	27
cueO	P36649	0.0002772604	30
cueR	P0A9G4	2.1319975e-05	24
curA	P76113	0.000131102	29
cusA	P38054	5.240424e-06	27
cusB	P77239	3.662123e-06	9
cusC	P77211	1.534723e-06	9
cusF	P77214	7.050355e-06	9
cusR	P0ACZ8	9.33338e-06	30
cusS	P77485	7.328513e-06	17
cutA	P69488	1.9259040000000003e-05	10
cutC	P67826	5.4822685e-05	30
cvrA	P76007	2.4106595e-05	26
cyaA	P00936	0.0001038404	19
cyaY	P27838	0.0001160713	30
cycA	P0AAE0	0.00023630275000000001	30
cydA	P0ABJ9	0.00038199394999999996	30
cydB	P0ABK2	0.00029166209999999997	30
cydC	P23886	6.500461e-05	30
cydD	P29018	4.4984499999999996e-05	30
cyoA	P0ABJ1	0.0005685289	29
cyoB	P0ABI8	0.0008978762	29
cysA	P16676	0.0008749252	29
cysB	P0A9F3	0.00026331840000000004	30
cysC	P0A6J1	0.00012189235	30
cysD	P21156	0.0009377268	29
cysE	P0A9D4	0.00010243955	30
cysG	P0AEA8	6.053254e-05	30
cysH	P17854	0.0003899018	30
cysI	P17846	0.0008325725499999999	30
cysJ	P38038	0.0005740919	30
cysK	P0ABK5	0.0048348835	30
cysM	P16703	0.00017778965	30
cysN	P23845	0.0009997869	29
cysP	P16700	0.0004660183	30
cysQ	P22255	0.0001003642	30
cysS	P21888	0.000334222	30
cysW	P0AEB0	3.2853225e-05	16
