gene	uniprot	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose	Succinate	Fructose
rpoC	P0A8T7	2778.5193591408797	7164.3652607671	4503.008971210581	2179.98789343629	2444.3609519987144	3315.670479543053	2844.5433147826575	2729.85385686994	4780.473046324901	3900.470037647335	3476.9462468768465	2999.5752662999457	1734.8137184215047	1907.4023035067094	2247.8447715698194	3985.374672998229	3339.350979817605	3631.5306929144544	3401.439199818585	2258.1698088364615	2764.0934780910425	4516.849522818522
rpoB	P0A8V2	3957.4344641181833	8888.466378882695	5198.5608496874975	2661.253271862183	3198.7833333949184	3999.083576745219	3748.8099388949795	3714.432332595051	5244.783447890167	4388.325064676102	3859.5987083059226	3455.0993086905337	2378.505976464225	2226.8717435231924	3253.953112918488	4922.674020530932	4031.6620655870056	4437.013515777716	4142.901443726218	2820.4494907183453	3855.1476446133274	5269.436582924218
acnB	P36683	7595.542045520425	16599.719404816395	17548.341931031326	22843.96744881628	19491.48405761233	13752.78138448287	10792.191853338234	16395.21968881868	15733.209919204655	20261.12344906201	16409.54997219681	13763.337973845844	933.3022664728803	756.478368223532	2814.510432188585	4841.834921316653	4648.925391802291	6697.44716635175	16516.92005692763	12875.302403923593	19547.132064336256	8782.370172213477
purL	P15254	2456.2659852354395	820.6857373648634	2339.023494647896	1437.6603757671162	2071.4985659334147	1958.9401306211298	2067.7287758441457	2708.0973401031097	2285.246876179287	1730.342351557605	1467.9360162687697	1218.805606120739	617.6620338152696	734.8774143004692	1318.1258334974666	1885.4902514122255	1708.2221508614487	1720.7546079698059	1764.284837674818	1570.497686550313	1913.4719444057118	2405.7213495390247
gltB	P09831	2858.9306324572303	604.3058578802372	651.9510592322528	1362.6109975256081	1280.730747255291	1977.2806347999774	2203.8787129223547	1690.7799060272127	2321.416778905211	1959.4820395736378	1771.177247541153	1379.0030845287015	229.5715312398314	183.11804307775566	833.5774324997981	2979.361330008746	2723.4776622399104	2496.134667142585	2078.529818365174	1398.1051739217412	1552.8740296504354	3858.169347205996
aceE	P0AFG8	5814.613174453896	11819.714467792763	6671.33053008919	2445.225832105002	4521.358461127238	4198.237572849563	4066.870025331408	15791.000151654476	5883.820961427969	5275.353462123049	4409.044725933988	4794.04223156284	5278.592383683714	5888.006303224175	6282.654696611157	6982.688782406134	9459.141049738866	10242.507567271547	4904.5560773715715	3263.1143592682574	4738.7494709212615	9413.603219003931
adhE	P0A9Q7	4851.082598113899	5471.633196555838	5634.479028313747	4510.32457317426	4007.154094824977	7360.876467373757	5185.60807461073	3292.3246479590784	10353.749969703404	7637.438787928167	7837.477438837544	8009.338270004044	7037.524404120092	6714.462916706934	5215.502540503035	9028.758570847134	9015.41645919152	8391.169910834466	5977.234756712347	6323.82928594848	4052.323576453825	19994.344955010998
tufA	P0CE47	252452.05642391465	443852.26323968545	368887.9539919375	149277.6651913	190255.6783952801	173736.43113846867	191041.13759365524	187232.99825307316	180818.68645541448	142246.77393801903	112618.14815265311	102131.33538091615	86995.5275602891	88446.73566771748	214484.39199810257	250232.3876007104	192346.40341048926	216763.91071772957	192017.03412420338	140284.54683539137	195882.71869144117	233115.92792607145
metE	P25665	51584.19460938904	1711.1518643464256	1690.463054954438	17413.39929814274	19718.935109550894	23978.269686382442	28808.031063025217	18643.235305501414	27207.975882717074	13267.735940597255	8295.193212524542	4243.479797696313	3382.0237021778034	3562.8950182772087	30108.984342656368	32361.83789031858	25743.723159512057	32790.20748825638	26643.444972415295	11659.56434055443	19185.4230969937	38847.642272728815
groL	P0A6F5	22739.32226050871	65886.55854303479	57319.44888568142	19539.781001251136	26421.529919335833	23090.459757453693	26357.68801938838	22919.13649907369	25954.203080553943	23701.83975335093	17810.667495898946	16980.15793094338	26509.230094915492	25773.909966932268	22879.41669917501	65428.40541189821	26820.979673587244	26428.219200301468	27239.009879624376	15632.154201231931	26639.075912275923	24906.09174973393
carB	P00968	4444.757141119931	411.2246995278599	674.5241655543023	1514.3920736272366	2501.1285337689205	2228.0394989122133	2852.475115403651	1847.4546632139845	3000.0735983074346	1872.5555294090582	1409.1656468133635	1117.0313923707265	1212.2341279817108	1147.444865192625	2248.8276179683967	3594.6089090366468	2908.246801768496	2687.0832751383123	2546.927793286408	1674.5167239507289	2606.8290801096396	3695.2611871003837
pflB	P09373	4615.031304956793	6983.824778416952	6457.484527861575	5645.299206008772	5439.905820607524	6177.7752173775325	5862.828258399071	6557.032921457768	6683.731002083763	6004.114823205581	5454.342720472212	4877.02323099588	3557.3486870905326	3629.2211033038166	4736.501122346439	5698.676946786277	8208.590887639735	5999.3672513744295	7028.332878009584	5774.419315718388	6640.061388566134	7623.714656204264
dnaK	P0A6Y8	18605.29615636357	59770.32991476707	38605.66271840324	14174.328114966569	16848.519938034122	17438.373427872855	17699.20889656418	13238.698472210654	15492.178720132342	13263.550779598025	10500.515437316308	9605.962197511959	34071.65433587266	33716.1378077118	20710.34453654663	44984.89235641655	34136.593949120805	18456.847753028618	18096.792957395992	11030.33496564284	19666.208371562476	18740.3790901528
infB	P0A705	3047.251983890236	6787.52809220799	4374.797119536286	1911.671446758982	2531.665848349775	2676.7174436300606	2826.610516550705	2658.536607814584	3821.8514936004085	2910.2874197079323	2327.047435152773	2029.3782894212345	1199.5411914830927	1411.0948196993575	2279.925575281933	4009.4942370332196	2724.6508468208426	3061.8632393361654	2784.550261436417	1831.5572405796004	2546.1033850635226	3534.291071472253
ilvC	P05793	33337.861029277265	3422.0974448196675	2074.205337221221	15604.002791800878	19954.158559522857	20987.557775833324	29064.735873590962	14079.123998830402	26857.140257798208	17839.502203791973	11582.592804553777	6797.848240223829	18865.06274744448	17213.1655601694	41664.78306529898	34022.60753296426	19773.629721360976	29345.045552031384	23853.24664284576	13576.44027821804	24773.986105656375	35789.734520578655
ppc	P00864	3632.6712336487444	1283.1647953746271	1487.747747664314	1349.0020503807636	1452.1985880799473	3286.982659485784	2185.4763262556817	1535.6105148154827	4287.592642602382	2871.088732110079	2128.8936911140113	1672.6086289353243	1315.50235632597	1627.730391687067	3019.408542864575	3669.01678575042	5644.3592786607915	3575.316184045638	2646.8973426927496	1663.0962231793992	1479.2133804977707	5125.9130049128935
alaS	P00957	1948.2932556683472	3255.6796775613766	2475.4711781799333	1133.1975395856898	1510.4912207810266	1666.41299856472	1709.9079602933698	1846.2038139239137	1725.7260513859349	1439.8409035827667	1193.223613224081	1037.837310698718	1085.3094103840745	1144.4880233846714	1714.3805957614622	2973.784999402552	2250.5010807616463	2389.1155162603072	1778.3457391390014	1265.2760922217878	1821.131082331351	2612.9014570584586
fusA	P0A6M8	39026.81589808246	86622.50259162905	60762.45611356026	21359.54190048143	28955.86615954881	31263.47931504741	31224.66876753739	28633.060092934866	24574.11910430975	19959.47468492836	15429.838614819835	12885.895873137371	13324.237010329536	12393.620795369417	29538.949269777302	35282.596009458975	29859.57640425544	34977.85846546317	27365.165111987004	20501.121811554443	32672.268975971572	38114.96973945162
