# TF -> transcription-unit attribution, derived from EcoCyc 30.0
# regulation.dat (Transcription-Factor-Binding) + dnabindsites.dat + transunits.dat.
# Regenerate: scripts/build_tf_tu_reattribution.py
# A TF listed here acts on THIS transcription unit; the model's cistron-content
# rule must not place it on a sibling TU of the same operon that is absent here.
tf_id	ecocyc_regulator	transcription_unit	gene
BCCP-CPLX	BCCP-CPLX	TU00231	ACCCT1
BCCP-CPLX	BCCP-CPLX	TU00231	EG10275
BCCP-CPLX	BCCP-CPLX	TU00231	EG10276
CPLX-123	CPLX-123	TU0-8494	EG11809
CPLX-123	CPLX-123	TU00054	EG11314
CPLX-123	CPLX-123	TU00054	EG11345
CPLX-123	CPLX-123	TU00055	EG10791
CPLX-123	CPLX-123	TU00056	EG10792
CPLX-123	CPLX-123	TU00056	EG10795
CPLX-123	CPLX-123	TU00057	EG10797
CPLX-123	CPLX-123	TU00058	EG10798
CPLX-123	CPLX-123	TU00058	EG10799
CPLX-123	CPLX-123	TU00059	EG10800
CPLX-123	CPLX-123	TU00060	EG10806
CPLX-123	CPLX-123	TU00061	EG10807
CPLX-123	CPLX-123	TU00082	EG10793
CPLX-123	CPLX-123	TU00082	EG10796
CPLX-123	CPLX-123	TU00089	EG10384
CPLX-123	CPLX-123	TU00094	EG10790
CPLX-123	CPLX-123	TU00110	EG10134
CPLX-123	CPLX-123	TU00110	EG10135
CPLX-123	CPLX-123	TU00170	EG10371
CPLX-123	CPLX-123	TU00170	EG11442
CPLX-123	CPLX-123	TU00170	EG11810
CPLX-123	CPLX-123	TU00192	EG10408
CPLX-123	CPLX-123	TU00192	GLYA_TERMINATOR
CPLX-123	CPLX-123	TU00197	EG11326
CPLX-123	CPLX-123	TU00197	EG11327
CPLX-123	CPLX-123	TU00203	EG10774
CPLX-123	CPLX-123	TU00204	EG10959
CPLX-123	CPLX-123	TU00204	EG10960
CPLX-123	CPLX-123	TU00205	EG10420
CPLX-123	CPLX-123	TU00205	EG10421
CPLX-123	CPLX-123	TU00205	GUSAT1
CPLX-123	CPLX-123	TU00473	EG10384
CPLX-123	CPLX-123	TU00475	EG10169
CPLX-123	CPLX-123	TU00475	EG10794
CPLX-123	CPLX-123	TU00475	EG11044
CPLX-124	CPLX-124	TU0-45202	EG10842
CPLX-124	CPLX-124	TU0-45202	EG10843
CPLX-124	CPLX-124	TU00063	EG10842
CPLX-124	CPLX-124	TU00063	EG10843
CPLX-124	CPLX-124	TU00208	EG11313
CPLX-124	CPLX-124	TU00219	EG11866
CPLX-124	CPLX-124	TU00219	EG11867
CPLX-124	CPLX-124	TU00219	EG11868
CPLX-125	CPLX-125	TU0-42510	EG11274
CPLX-125	CPLX-125	TU00010	AROH_TERMINATOR
CPLX-125	CPLX-125	TU00010	EG10080
CPLX-125	CPLX-125	TU00011	EG10082
CPLX-125	CPLX-125	TU00011	EG10083
CPLX-125	CPLX-125	TU00011	EG11093
CPLX-125	CPLX-125	TU00067	EG11024
