# Created from running fit_sim_data_1.py with the --optimize_trna_charging_kinetics option, on Fri May 15 12:41:34 2026.
"synthetase_id"	"sweep_level"	"iteration"	"objective"	"k_cat (1/units.s)"	"K_M_amino_acid (units.umol/units.L)"	"K_M_trna"	"f_free"	"f_free_at_min"
"ALAS-CPLX[c]"	2	1	4.876919118550018e-07	5250.645568378424	1483.0297740338701	{"alaT-tRNA[c]": 218.03150230300756, "alaU-tRNA[c]": 218.03150230300756, "alaV-tRNA[c]": 218.03150230300756, "alaW-tRNA[c]": 60.313909888556594, "alaX-tRNA[c]": 60.313909888556594}	{"alaT-tRNA[c]__basal": 0.2208528697067282, "alaU-tRNA[c]__basal": 0.2208528697067282, "alaV-tRNA[c]__basal": 0.2208528697067282, "alaW-tRNA[c]__basal": 0.22862911264309813, "alaX-tRNA[c]__basal": 0.22862911264309813, "alaT-tRNA[c]__with_aa": 0.18314388663885325, "alaU-tRNA[c]__with_aa": 0.18314388663885325, "alaV-tRNA[c]__with_aa": 0.18314388663885325, "alaW-tRNA[c]__with_aa": 0.21413908091082118, "alaX-tRNA[c]__with_aa": 0.21413908091082118}	{"alaT-tRNA[c]__basal": 0.906684411120806, "alaU-tRNA[c]__basal": 0.906684411120806, "alaV-tRNA[c]__basal": 0.906684411120806, "alaW-tRNA[c]__basal": 0.9385644230892918, "alaX-tRNA[c]__basal": 0.9385644230892918, "alaT-tRNA[c]__with_aa": 0.7930454898382561, "alaU-tRNA[c]__with_aa": 0.7930454898382561, "alaV-tRNA[c]__with_aa": 0.7930454898382561, "alaW-tRNA[c]__with_aa": 0.927288514863616, "alaX-tRNA[c]__with_aa": 0.927288514863616}
"ALAS-CPLX[c]"	2	2	2.2946291442023573e-07	2426.345884790301	804.7328641219262	{"alaT-tRNA[c]": 109.22468390641231, "alaU-tRNA[c]": 109.22468390641231, "alaV-tRNA[c]": 109.22468390641231, "alaW-tRNA[c]": 30.60095430444013, "alaX-tRNA[c]": 30.60095430444013}	{"alaT-tRNA[c]__basal": 0.17937003775956648, "alaU-tRNA[c]__basal": 0.17937003775956648, "alaV-tRNA[c]__basal": 0.17937003775956648, "alaW-tRNA[c]__basal": 0.18806136489607164, "alaX-tRNA[c]__basal": 0.18806136489607164, "alaT-tRNA[c]__with_aa": 0.16552934414846968, "alaU-tRNA[c]__with_aa": 0.16552934414846968, "alaV-tRNA[c]__with_aa": 0.16552934414846968, "alaW-tRNA[c]__with_aa": 0.19601805615585344, "alaX-tRNA[c]__with_aa": 0.19601805615585344}	{"alaT-tRNA[c]__basal": 0.7692573289392103, "alaU-tRNA[c]__basal": 0.7692573289392103, "alaV-tRNA[c]__basal": 0.7692573289392103, "alaW-tRNA[c]__basal": 0.8064689965369892, "alaX-tRNA[c]__basal": 0.8064689965369892, "alaT-tRNA[c]__with_aa": 0.7679414435684041, "alaU-tRNA[c]__with_aa": 0.7679414435684041, "alaV-tRNA[c]__with_aa": 0.7679414435684041, "alaW-tRNA[c]__with_aa": 0.9093930089037694, "alaX-tRNA[c]__with_aa": 0.9093930089037694}
"ALAS-CPLX[c]"	2	3	6.958680532122182e-07	6505.208614864866	107.72078850549258	{"alaT-tRNA[c]": 474.4034065269813, "alaU-tRNA[c]": 474.4034065269813, "alaV-tRNA[c]": 474.4034065269813, "alaW-tRNA[c]": 123.28901759824068, "alaX-tRNA[c]": 123.28901759824068}	{"alaT-tRNA[c]__basal": 0.18006810430984277, "alaU-tRNA[c]__basal": 0.18006810430984277, "alaV-tRNA[c]__basal": 0.18006810430984277, "alaW-tRNA[c]__basal": 0.1751300981725308, "alaX-tRNA[c]__basal": 0.1751300981725308, "alaT-tRNA[c]__with_aa": 0.2000368915613643, "alaU-tRNA[c]__with_aa": 0.2000368915613643, "alaV-tRNA[c]__with_aa": 0.2000368915613643, "alaW-tRNA[c]__with_aa": 0.21972475388842558, "alaX-tRNA[c]__with_aa": 0.21972475388842558}	{"alaT-tRNA[c]__basal": 0.708697749477829, "alaU-tRNA[c]__basal": 0.708697749477829, "alaV-tRNA[c]__basal": 0.708697749477829, "alaW-tRNA[c]__basal": 0.6892303381212008, "alaX-tRNA[c]__basal": 0.6892303381212008, "alaT-tRNA[c]__with_aa": 0.8318951431601471, "alaU-tRNA[c]__with_aa": 0.8318951431601471, "alaV-tRNA[c]__with_aa": 0.8318951431601471, "alaW-tRNA[c]__with_aa": 0.913811856574672, "alaX-tRNA[c]__with_aa": 0.913811856574672}
"ALAS-CPLX[c]"	2	4	2.697805373896344e-07	744.7343027361603	530.5027618908802	{"alaT-tRNA[c]": 25.189820557378535, "alaU-tRNA[c]": 25.189820557378535, "alaV-tRNA[c]": 25.189820557378535, "alaW-tRNA[c]": 3.220581623354714, "alaX-tRNA[c]": 3.220581623354714}	{"alaT-tRNA[c]__basal": 0.12367901754990307, "alaU-tRNA[c]__basal": 0.12367901754990307, "alaV-tRNA[c]__basal": 0.12367901754990307, "alaW-tRNA[c]__basal": 0.05917436442083621, "alaX-tRNA[c]__basal": 0.05917436442083621, "alaT-tRNA[c]__with_aa": 0.12437852400093392, "alaU-tRNA[c]__with_aa": 0.12437852400093392, "alaV-tRNA[c]__with_aa": 0.12437852400093392, "alaW-tRNA[c]__with_aa": 0.06721395778746972, "alaX-tRNA[c]__with_aa": 0.06721395778746972}	{"alaT-tRNA[c]__basal": 0.690592031050515, "alaU-tRNA[c]__basal": 0.690592031050515, "alaV-tRNA[c]__basal": 0.690592031050515, "alaW-tRNA[c]__basal": 0.3304161659392759, "alaX-tRNA[c]__basal": 0.3304161659392759, "alaT-tRNA[c]__with_aa": 0.9038040000599254, "alaU-tRNA[c]__with_aa": 0.9038040000599254, "alaV-tRNA[c]__with_aa": 0.9038040000599254, "alaW-tRNA[c]__with_aa": 0.4884319460264038, "alaX-tRNA[c]__with_aa": 0.4884319460264038}
"ALAS-CPLX[c]"	2	5	1.2125165727005138e-06	5938.965178444597	236.9159545032111	{"alaT-tRNA[c]": 374.94992274963676, "alaU-tRNA[c]": 374.94992274963676, "alaV-tRNA[c]": 374.94992274963676, "alaW-tRNA[c]": 109.79336345518414, "alaX-tRNA[c]": 109.79336345518414}	{"alaT-tRNA[c]__basal": 0.17265473895978573, "alaU-tRNA[c]__basal": 0.17265473895978573, "alaV-tRNA[c]__basal": 0.17265473895978573, "alaW-tRNA[c]__basal": 0.18920391506664072, "alaX-tRNA[c]__basal": 0.18920391506664072, "alaT-tRNA[c]__with_aa": 0.1831085542725172, "alaU-tRNA[c]__with_aa": 0.1831085542725172, "alaV-tRNA[c]__with_aa": 0.1831085542725172, "alaW-tRNA[c]__with_aa": 0.22662124768405173, "alaX-tRNA[c]__with_aa": 0.22662124768405173}	{"alaT-tRNA[c]__basal": 0.6831606315872345, "alaU-tRNA[c]__basal": 0.6831606315872345, "alaV-tRNA[c]__basal": 0.6831606315872345, "alaW-tRNA[c]__basal": 0.7486061676405363, "alaX-tRNA[c]__basal": 0.7486061676405363, "alaT-tRNA[c]__with_aa": 0.7663067369654549, "alaU-tRNA[c]__with_aa": 0.7663067369654549, "alaV-tRNA[c]__with_aa": 0.7663067369654549, "alaW-tRNA[c]__with_aa": 0.9484656697154845, "alaX-tRNA[c]__with_aa": 0.9484656697154845}
"ALAS-CPLX[c]"	2	6	2.6598808913499425e-07	1000.6569453177336	2.377617356571091	{"alaT-tRNA[c]": 62.112618838799484, "alaU-tRNA[c]": 62.112618838799484, "alaV-tRNA[c]": 62.112618838799484, "alaW-tRNA[c]": 14.545429542145094, "alaX-tRNA[c]": 14.545429542145094}	{"alaT-tRNA[c]__basal": 0.14620628867789834, "alaU-tRNA[c]__basal": 0.14620628867789834, "alaV-tRNA[c]__basal": 0.14620628867789834, "alaW-tRNA[c]__basal": 0.12812024114387383, "alaX-tRNA[c]__basal": 0.12812024114387383, "alaT-tRNA[c]__with_aa": 0.17421386318583024, "alaU-tRNA[c]__with_aa": 0.17421386318583024, "alaV-tRNA[c]__with_aa": 0.17421386318583024, "alaW-tRNA[c]__with_aa": 0.17244183809086366, "alaX-tRNA[c]__with_aa": 0.17244183809086366}	{"alaT-tRNA[c]__basal": 0.6603573944407527, "alaU-tRNA[c]__basal": 0.6603573944407527, "alaV-tRNA[c]__basal": 0.6603573944407527, "alaW-tRNA[c]__basal": 0.5787048322002519, "alaX-tRNA[c]__basal": 0.5787048322002519, "alaT-tRNA[c]__with_aa": 0.9356369391708506, "alaU-tRNA[c]__with_aa": 0.9356369391708506, "alaV-tRNA[c]__with_aa": 0.9356369391708506, "alaW-tRNA[c]__with_aa": 0.9261516748526405, "alaX-tRNA[c]__with_aa": 0.9261516748526405}
"ALAS-CPLX[c]"	2	8	1.072122400948592e-06	17600.494268732422	1669.969939205414	{"alaT-tRNA[c]": 738.5653631585872, "alaU-tRNA[c]": 738.5653631585872, "alaV-tRNA[c]": 738.5653631585872, "alaW-tRNA[c]": 196.66938871583716, "alaX-tRNA[c]": 196.66938871583716}	{"alaT-tRNA[c]__basal": 0.23561501546500302, "alaU-tRNA[c]__basal": 0.23561501546500302, "alaV-tRNA[c]__basal": 0.23561501546500302, "alaW-tRNA[c]__basal": 0.23478280031444354, "alaX-tRNA[c]__basal": 0.23478280031444354, "alaT-tRNA[c]__with_aa": 0.19104131772178753, "alaU-tRNA[c]__with_aa": 0.19104131772178753, "alaV-tRNA[c]__with_aa": 0.19104131772178753, "alaW-tRNA[c]__with_aa": 0.2150174446730392, "alaX-tRNA[c]__with_aa": 0.2150174446730392}	{"alaT-tRNA[c]__basal": 0.9236552276604006, "alaU-tRNA[c]__basal": 0.9236552276604006, "alaV-tRNA[c]__basal": 0.9236552276604006, "alaW-tRNA[c]__basal": 0.9204683587848086, "alaX-tRNA[c]__basal": 0.9204683587848086, "alaT-tRNA[c]__with_aa": 0.7824112871783301, "alaU-tRNA[c]__with_aa": 0.7824112871783301, "alaV-tRNA[c]__with_aa": 0.7824112871783301, "alaW-tRNA[c]__with_aa": 0.8806461579330718, "alaX-tRNA[c]__with_aa": 0.8806461579330718}
"ALAS-CPLX[c]"	2	9	3.5714004487395794e-07	4711.988274865086	1324.5593081154318	{"alaT-tRNA[c]": 183.86342599110063, "alaU-tRNA[c]": 183.86342599110063, "alaV-tRNA[c]": 183.86342599110063, "alaW-tRNA[c]": 55.1034722249039, "alaX-tRNA[c]": 55.1034722249039}	{"alaT-tRNA[c]__basal": 0.19509288861491278, "alaU-tRNA[c]__basal": 0.19509288861491278, "alaV-tRNA[c]__basal": 0.19509288861491278, "alaW-tRNA[c]__basal": 0.21877508282473068, "alaX-tRNA[c]__basal": 0.21877508282473068, "alaT-tRNA[c]__with_aa": 0.1650346209166803, "alaU-tRNA[c]__with_aa": 0.1650346209166803, "alaV-tRNA[c]__with_aa": 0.1650346209166803, "alaW-tRNA[c]__with_aa": 0.20906142236566067, "alaX-tRNA[c]__with_aa": 0.20906142236566067}	{"alaT-tRNA[c]__basal": 0.8035086692509126, "alaU-tRNA[c]__basal": 0.8035086692509126, "alaV-tRNA[c]__basal": 0.8035086692509126, "alaW-tRNA[c]__basal": 0.901143855029138, "alaX-tRNA[c]__basal": 0.901143855029138, "alaT-tRNA[c]__with_aa": 0.7187441866712807, "alaU-tRNA[c]__with_aa": 0.7187441866712807, "alaV-tRNA[c]__with_aa": 0.7187441866712807, "alaW-tRNA[c]__with_aa": 0.9104709045238379, "alaX-tRNA[c]__with_aa": 0.9104709045238379}
"ALAS-CPLX[c]"	2	10	2.3020482156394985e-07	2913.06559925292	1594.9891420999475	{"alaT-tRNA[c]": 100.99476681397358, "alaU-tRNA[c]": 100.99476681397358, "alaV-tRNA[c]": 100.99476681397358, "alaW-tRNA[c]": 28.39899037541634, "alaX-tRNA[c]": 28.39899037541634}	{"alaT-tRNA[c]__basal": 0.19626442923846493, "alaU-tRNA[c]__basal": 0.19626442923846493, "alaV-tRNA[c]__basal": 0.19626442923846493, "alaW-tRNA[c]__basal": 0.20652140139302666, "alaX-tRNA[c]__basal": 0.20652140139302666, "alaT-tRNA[c]__with_aa": 0.16102855761709897, "alaU-tRNA[c]__with_aa": 0.16102855761709897, "alaV-tRNA[c]__with_aa": 0.16102855761709897, "alaW-tRNA[c]__with_aa": 0.19139676311322637, "alaX-tRNA[c]__with_aa": 0.19139676311322637}	{"alaT-tRNA[c]__basal": 0.8600411469475939, "alaU-tRNA[c]__basal": 0.8600411469475939, "alaV-tRNA[c]__basal": 0.8600411469475939, "alaW-tRNA[c]__basal": 0.9049944312506382, "alaX-tRNA[c]__basal": 0.9049944312506382, "alaT-tRNA[c]__with_aa": 0.7533855200393131, "alaU-tRNA[c]__with_aa": 0.7533855200393131, "alaV-tRNA[c]__with_aa": 0.7533855200393131, "alaW-tRNA[c]__with_aa": 0.8954366289368498, "alaX-tRNA[c]__with_aa": 0.8954366289368498}
"ALAS-CPLX[c]"	2	11	1.6100605640669458e-07	1287.9047544301163	2263.539693191286	{"alaT-tRNA[c]": 16.559348393905534, "alaU-tRNA[c]": 16.559348393905534, "alaV-tRNA[c]": 16.559348393905534, "alaW-tRNA[c]": 6.525735830168661, "alaX-tRNA[c]": 6.525735830168661}	{"alaT-tRNA[c]__basal": 0.09853407167861856, "alaU-tRNA[c]__basal": 0.09853407167861856, "alaV-tRNA[c]__basal": 0.09853407167861856, "alaW-tRNA[c]__basal": 0.14530978736283312, "alaX-tRNA[c]__basal": 0.14530978736283312, "alaT-tRNA[c]__with_aa": 0.076276513545179, "alaU-tRNA[c]__with_aa": 0.076276513545179, "alaV-tRNA[c]__with_aa": 0.076276513545179, "alaW-tRNA[c]__with_aa": 0.12704813142963983, "alaX-tRNA[c]__with_aa": 0.12704813142963983}	{"alaT-tRNA[c]__basal": 0.6087444785694741, "alaU-tRNA[c]__basal": 0.6087444785694741, "alaV-tRNA[c]__basal": 0.6087444785694741, "alaW-tRNA[c]__basal": 0.8977269747696581, "alaX-tRNA[c]__basal": 0.8977269747696581, "alaT-tRNA[c]__with_aa": 0.525440499799004, "alaU-tRNA[c]__with_aa": 0.525440499799004, "alaV-tRNA[c]__with_aa": 0.525440499799004, "alaW-tRNA[c]__with_aa": 0.8752147082515233, "alaX-tRNA[c]__with_aa": 0.8752147082515233}
