# Adjustments to get protein expression for certain enzymes required for metabolism
"name"	"value"	"units"	"_source"	"_comments"
"EG11493_RNA"	10		"fit_sim_data_1.py"	"pabC, aminodeoxychorismate lyase"
"EG12438_RNA"	10		"fit_sim_data_1.py"	"menH, 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthetase"
"EG12298_RNA"	10		"fit_sim_data_1.py"	"yibQ, Predicted polysaccharide deacetylase; This RNA is fit for the anaerobic condition viability"
"EG11672_RNA"	10		"fit_sim_data_1.py"	"atoB, acetyl-CoA acetyltransferase; This RNA is fit for the anaerobic condition viability"
"EG10236_RNA"	10		"fit_sim_data_1.py"	"dnaB, replicative DNA helicase; This RNA is fit for the sims to produce enough DNAPs for timely replication in anaerobic condition"
"EG10238_RNA"	10		"fit_sim_data_1.py"	"dnaE, DNA polymerase III subunit alpha; This RNA is fit for the sims to produce enough DNAPs for timely replication"
"EG11673_RNA"	10		"fit_sim_data_1.py"	"folB, dihydroneopterin aldolase; needed for growth (METHYLENE-THF) in acetate condition"
"EG10808_RNA"	10		"fit_sim_data_1.py"	"pyrE, orotate phosphoribosyltransferase; Needed for UTP synthesis, transcriptional regulation by UTP is not included in the model"
"EG10581_RNA"	10			"metA, homoserine O-succinyltransferase; Met synthesis enzyme with low protein expression on aa_synthesis_enzymes parca analysis plot"
"EG10091_RNA"	10			"asnA, asparagine synthetase A; Asn synthesis enzyme with low protein expression on aa_synthesis_enzymes parca analysis plot"
"EG10321_RNA"	10		"flagella-cascade investigation"	"fliC, flagellin; Class III override (Y*basal_prob, flagella_transcription_regulation.py) caps synthesis at basal_prob's ceiling, and the pre-existing basal_prob was fit under non-motile-induced conditions, giving only ~0.7 molecules/s real-time synthesis during active override -- ~65x below the ~46/s peak demand back-calculated from Renault et al. 2017 (eLife 6:e23136) filament growth data. 10x is the max defensible bump: it raises fliC to ~2.3% of the CELL'S TOTAL mRNA transcription-probability budget (transcript_initiation.py's is_mrna rescale distributes a FIXED total budget across all mRNA TUs), comparable to flagellin's known high abundance in motile cells; 65x (to fully close the gap) would push a single gene to ~13.5% of total mRNA budget, unrealistically starving hundreds of co-expressed genes. Does not fully close the gap (measured rate was scaled ~10x -> still short of the literature target) but is the honest ceiling without restructuring the Class III override architecture (Maya Abdalla flagella-cascade investigation, 2026-08-06)"
