# Created from running fit_sim_data_1.py with the --optimize-trna-charging option, on Fri May 15 12:41:34 2026.
"Synthetase"	"k_cat (1/units.s)"	"K_A (units.umol/units.L)"	"K_T"	"f basal"	"f with_aa"
"ALAS-CPLX[c]"	423.3989945514098	1533.2371848059806	{"alaT-tRNA[c]": 13.075813490257005, "alaU-tRNA[c]": 13.075813490257005, "alaV-tRNA[c]": 13.075813490257005, "alaW-tRNA[c]": 3.8520619537961887, "alaX-tRNA[c]": 3.8520619537961887}	{"alaT-tRNA[c]": 0.22746645758896653, "alaU-tRNA[c]": 0.22746645758896653, "alaV-tRNA[c]": 0.22746645758896653, "alaW-tRNA[c]": 0.25075940161450655, "alaX-tRNA[c]": 0.25075940161450655}	{"alaT-tRNA[c]": 0.19582838877537012, "alaU-tRNA[c]": 0.19582838877537012, "alaV-tRNA[c]": 0.19582838877537012, "alaW-tRNA[c]": 0.24384141008258137, "alaX-tRNA[c]": 0.24384141008258137}
"ARGS-MONOMER[c]"	215.88154030292077	198.7334947702207	{"argQ-tRNA[c]": 8.72497114601515, "argU-tRNA[c]": 39.44535090643476, "argV-tRNA[c]": 8.72497114601515, "argW-tRNA[c]": 197.9519098485673, "argX-tRNA[c]": 34.81430174948142, "argY-tRNA[c]": 8.72497114601515, "argZ-tRNA[c]": 8.72497114601515}	{"argQ-tRNA[c]": 0.1284693966403112, "argU-tRNA[c]": 0.07194461184041959, "argV-tRNA[c]": 0.1284693966403112, "argW-tRNA[c]": 0.06264139920905579, "argX-tRNA[c]": 0.09869416720944785, "argY-tRNA[c]": 0.1284693966403112, "argZ-tRNA[c]": 0.1284693966403112}	{"argQ-tRNA[c]": 0.12182584307291658, "argU-tRNA[c]": 0.06502500589926521, "argV-tRNA[c]": 0.12182584307291658, "argW-tRNA[c]": 0.055930929060293996, "argX-tRNA[c]": 0.08844413472961754, "argY-tRNA[c]": 0.12182584307291658, "argZ-tRNA[c]": 0.12182584307291658}
"ASNS-CPLX[c]"	168.0583551401368	754.6862491367997	{"asnT-tRNA[c]": 12.039652709521611, "asnU-tRNA[c]": 12.039652709521611, "asnV-tRNA[c]": 12.039652709521611, "RNA0-304[c]": 12.039652709521611}	{"asnT-tRNA[c]": 0.25070405552627895, "asnU-tRNA[c]": 0.25070405552627895, "asnV-tRNA[c]": 0.25070405552627895, "RNA0-304[c]": 0.25070405552627895}	{"asnT-tRNA[c]": 0.2981165119238104, "asnU-tRNA[c]": 0.2981165119238104, "asnV-tRNA[c]": 0.2981165119238104, "RNA0-304[c]": 0.2981165119238104}
"ASPS-CPLX[c]"	408.4088145366413	1041.3515076386411	{"aspT-tRNA[c]": 11.701670431772962, "aspU-tRNA[c]": 11.701670431772962, "aspV-tRNA[c]": 11.701670431772962}	{"aspT-tRNA[c]": 0.15948250843874562, "aspU-tRNA[c]": 0.15948250843874562, "aspV-tRNA[c]": 0.15948250843874562}	{"aspT-tRNA[c]": 0.19159335768273508, "aspU-tRNA[c]": 0.19159335768273508, "aspV-tRNA[c]": 0.19159335768273508}
"CYSS-MONOMER[c]"	92.13136211679227	12.613118353528304	{"cysT-tRNA[c]": 13.124681053130091}	{"cysT-tRNA[c]": 0.16488522714594872}	{"cysT-tRNA[c]": 0.18551317448100407}
"GLURS-MONOMER[c]"	69.0199393435698	39654.53344694737	{"gltT-tRNA[c]": 9.486006028321711, "gltU-tRNA[c]": 9.486006028321711, "gltV-tRNA[c]": 9.486006028321711, "gltW-tRNA[c]": 9.486006028321711}	{"gltT-tRNA[c]": 0.25781298756999427, "gltU-tRNA[c]": 0.25781298756999427, "gltV-tRNA[c]": 0.25781298756999427, "gltW-tRNA[c]": 0.25781298756999427}	{"gltT-tRNA[c]": 0.25923904403569115, "gltU-tRNA[c]": 0.25923904403569115, "gltV-tRNA[c]": 0.25923904403569115, "gltW-tRNA[c]": 0.25923904403569115}
"GLNS-MONOMER[c]"	292.7019164266254	4462.601396537159	{"glnU-tRNA[c]": 18.621754926296557, "glnV-tRNA[c]": 53.11445285303207, "glnW-tRNA[c]": 18.621754926296557, "glnX-tRNA[c]": 53.11445285303207}	{"glnU-tRNA[c]": 0.24493827553199787, "glnV-tRNA[c]": 0.3625052318784568, "glnW-tRNA[c]": 0.24493827553199787, "glnX-tRNA[c]": 0.3625052318784568}	{"glnU-tRNA[c]": 0.23905572214276108, "glnV-tRNA[c]": 0.3555268805374798, "glnW-tRNA[c]": 0.23905572214276108, "glnX-tRNA[c]": 0.3555268805374798}
"GLYS-CPLX[c]"	223.73504130189727	631.3064195595545	{"glyT-tRNA[c]": 36.33457517821293, "glyU-tRNA[c]": 82.45679599802646, "glyV-tRNA[c]": 10.874300983939701, "glyW-tRNA[c]": 10.874300983939701, "glyX-tRNA[c]": 10.874300983939701, "glyY-tRNA[c]": 10.874300983939701}	{"glyT-tRNA[c]": 0.25447258672532186, "glyU-tRNA[c]": 0.23843702062281397, "glyV-tRNA[c]": 0.2276705827063054, "glyW-tRNA[c]": 0.2276705827063054, "glyX-tRNA[c]": 0.2276705827063054, "glyY-tRNA[c]": 0.2276705827063054}	{"glyT-tRNA[c]": 0.24543484880092167, "glyU-tRNA[c]": 0.2311840858480902, "glyV-tRNA[c]": 0.21389382666625525, "glyW-tRNA[c]": 0.21389382666625525, "glyX-tRNA[c]": 0.21389382666625525, "glyY-tRNA[c]": 0.21389382666625525}
"HISS-CPLX[c]"	501.5919047105635	110.59808888053735	{"hisR-tRNA[c]": 11.523682650882781}	{"hisR-tRNA[c]": 0.30098354150513956}	{"hisR-tRNA[c]": 0.34178326303442924}
"ILES-MONOMER[c]"	40.73341978740861	61.28545506004846	{"ileT-tRNA[c]": 1.2228682163637044, "ileU-tRNA[c]": 1.2228682163637044, "ileV-tRNA[c]": 1.2228682163637044, "ileX-tRNA[c]": 46.3075112389291, "RNA0-305[c]": 46.3075112389291}	{"ileT-tRNA[c]": 0.08044295333972004, "ileU-tRNA[c]": 0.08044295333972004, "ileV-tRNA[c]": 0.08044295333972004, "ileX-tRNA[c]": 0.11125733645927836, "RNA0-305[c]": 0.11125733645927836}	{"ileT-tRNA[c]": 0.09260601273754396, "ileU-tRNA[c]": 0.09260601273754396, "ileV-tRNA[c]": 0.09260601273754396, "ileX-tRNA[c]": 0.11004226677003018, "RNA0-305[c]": 0.11004226677003018}
