"melatonin [mmol/L], fed-batch [h]",DDB_PD_002_AMBR_R8,DDB_PD_002_AMBR_R7,DDB_PD_072_AMBR_R7,DDB_PD_072_AMBR_R8,DDB_PD_074_AMBR_R12,DDB_PD_107_AMBR_R1,DDB_PD_107_AMBR_R10,DDB_PD_107_AMBR_R11,DDB_PD_107_AMBR_R12,DDB_PD_107_AMBR_R13,DDB_PD_107_AMBR_R2,DDB_PD_107_AMBR_R3,DDB_PD_107_AMBR_R5,DDB_PD_107_AMBR_R6,DDB_PD_107_AMBR_R7,DDB_PD_107_AMBR_R8,DDB_PD_107_AMBR_R9,DDB_PD_110_AMBR_R10,DDB_PD_110_AMBR_R5,DDB_PD_110_AMBR_R6,DDB_PD_110_AMBR_R7,DDB_PD_110_AMBR_R8,DDB_PD_110_AMBR_R9
-28.27,,,0.0,,,,,,,,,,,,,,,,,,,,
-26.67,,,,0.0,,,,,,,,,,,,,,,,,,,
-22.67,,,,,0.0,,,,,,,,,,,,,,,,,,
-19.33,0.0,,,,,,,,,,,,,,,,,,,,,,
-19.25,,0.0,,,,,,,,,,,,,,,,,,,,,
-15.93,,,0.052,,,,,,,,,,,,,,,,,,,,
-15.179999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,
-15.120000000000001,,0.0,,,,,,,,,,,,,,,,,,,,,
-14.340000000000002,,,,0.057,,,,,,,,,,,,,,,,,,,
-12.349999999999998,,,,,,,,0.0,,,,,,,,,,,,,,,
-11.179999999999998,0.063,,,,,,,,,,,,,,,,,,,,,,
-11.12,,0.042,,,,,,,,,,,,,,,,,,,,,
-10.580000000000002,,,,,,,,,,,,,,,,0.0,,,,,,,
-10.330000000000002,,,,,0.0,,,,,,,,,,,,,,,,,,
-10.18,,,,,,,,,,,,,,,,,0.0,,,,,,
-10.09,,,,,,,,,0.0,,,,,,,,,,,,,,
-9.71,,,0.159,,,,,,,,,,,,,,,,,,,,
-8.34,,,,,,,,,,0.0,,,,,,,,,,,,,
-8.090000000000003,,,,0.216,,,,,,,,,,,,,,,,,,,
-7.660000000000002,,,,,0.0,,,,,,,,,,,,,,,,,,
-7.339999999999998,,,,,,,0.0,,,,,,,,,,,,,,,,
-7.24,,,,,,,,,,,,,,0.0,,,,,,,,,
-7.139999999999999,0.252,,,,,,,,,,,,,,,,,,,,,,
-7.09,,0.263,,,,,,,,,,,,,,,,,,,,,
-6.280000000000001,,,,,,,,,,,,,0.669,,,,,,,,,,
-6.080000000000002,,,,,,,,,,,,,,,,,,,0.0,,,,
-6.050000000000001,,,,,,,,,,,,,,,0.71,,,,,,,,
-5.990000000000002,,,,,,,,,,,,,,,,,,,,0.0,,,
-5.650000000000002,,,,,0.0,,,,,,,,,,,,,,,,,,
-5.490000000000002,,,,,,,,,,,,,,,,,,,,,0.0,,
-5.34,,,,,,,,,,,,,,,,,,,,,,,0.0
-4.790000000000003,,,,,,,,,,,,,,,,,,0.0,,,,,
-4.780000000000001,,,,,,,,,,,,,,,,,,,,,,0.0,
-4.690000000000001,,,0.484,,,,,,,,,,,,,,,,,,,,
-3.7799999999999994,,,,,,0.0,,,,,,,,,,,,,,,,,
-3.6499999999999986,,,,,,,,,,,,0.0,,,,,,,,,,,
-3.1799999999999997,0.898,,,,,,,,,,,,,,,,,,,,,,
-3.120000000000001,,0.911,,,,,,,,,,,,,,,,,,,,,
-3.0700000000000003,,,,0.654,,,,,,,,,,,,,,,,,,,
-3.01,,,,,,,,,,,0.0,,,,,,,,,,,,
-0.0799999999999983,,1.373,,,,,,,,,,,,,,,,,,,,,
-0.06999999999999673,1.881,,,,,,,,,,,,,,,,,,,,,,
-0.030000000000001137,,,1.099,,0.896,,,,,,,,,,,,,,,,,,
-0.010000000000001563,,,,1.089,,,,,,,,,,,,,,,,,,,
2.9299999999999997,,3.011,,,,,,,,,,,,,,,,,,,,,
2.9400000000000013,3.106,,,,,,,,,,,,,,,,,,,,,,
3.9499999999999993,,,,,,,,,,,,,,,,,,,,,,0.0,
3.960000000000001,,,,,,,0.0,,2.891,,0.0,,,,,,0.0,,,0.0,,,0.0
3.969999999999999,,,,,1.853,,,,,,,,,2.944,,,,,,,0.0,,
3.9700000000000024,,,2.055,,,0.0,,2.916,,,,,,,,,,,,,,,
3.979999999999997,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
3.9800000000000004,,,,,,,,,,,,,3.036,,,,,,,,,,
3.9899999999999984,,,,1.833,,,,,,,,,,,3.054,,,,,,,,
3.990000000000002,,,,,,,,,,,,0.0,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,0.0,,,,
4.080000000000002,,,,,,,,,,2.673,,,,,,,,,,,,,
5.93,,4.089,,,,,,,,,,,,,,,,,,,,,
5.940000000000001,4.566,,,,,,,,,,,,,,,,,,,,,,
7.949999999999999,,,,,,,,,,,,,,,,,0.0,,,,,0.0,
7.959999999999997,,,,,,,,,4.466,,,,,,,,,,,,,,
7.960000000000001,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0
7.969999999999999,,,,,2.588,,,4.505,,,,,,4.685,,,,,,,0.0,,
7.970000000000002,,,3.044,,,,,,,,,,,,,,,,,,,,
7.979999999999997,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
7.98,,,,,,,,,,4.152,,,4.717,,,,,,,,,,
7.989999999999995,,,,3.028,,,,,,,,,,,,,,,,,,,
7.989999999999998,,,,,,,,,,,,,,,4.61,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,0.0,,,,
8.030000000000001,,,,,,0.0,,,,,,,,,,,,,,,,,
8.310000000000002,,,,,,,,,,,,0.0,,,,,,,,,,,
8.93,,6.189,,,,,,,,,,,,,,,,,,,,,
8.940000000000001,5.542,,,,,,,,,,,,,,,,,,,,,,
8.96,,,,,,,,,,,0.0,,,,,,,,,,,,
11.940000000000001,8.149,7.243,,,,,,,,,,,,,,,,,,,,,
11.95,,,,,,,,,,,,,,,,,,,,,,0.0,
11.959999999999997,,,,,,,,,5.969,,,,,,,,0.0,,,0.0,,,
11.96,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0
11.969999999999999,,,,,0.0,,,,,,,,,,,,,,,,,,
11.970000000000002,,,4.1,,,,,,,,,,5.92,5.946,,,,,,,0.0,,
11.979999999999997,,,,,,,,,,5.724,,,,,,0.0,,0.0,,,,,
11.989999999999995,,,,4.203,,,,,,,,,,,,,,,,,,,
11.990000000000002,,,,,,,,5.902,,,,0.0,,,6.284,,,,,,,,
12.0,,,,,,,,,,,,,,,,,,,0.0,,,,
14.93,,9.403,,,,,,,,,,,,,,,,,,,,,
14.940000000000005,9.317,,,,,,,,,,,,,,,,,,,,,,
14.95,,,,,,,,,,,,,,,,,0.0,,,,,0.0,
14.959999999999997,,,,,,,,,7.268,,,,,,,,,,,0.0,,,
14.96,,,,,,,0.0,,,6.51,,,,,,,,,,,,,0.0
14.969999999999999,,,,,,0.0,,,,,,,,,,,,,,,,,
14.970000000000002,,,,,,,,,,,,,7.577,6.57,,,,,,,0.0,,
14.979999999999997,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
14.990000000000002,,,,,,,,,,,,,,,7.504,,,,,,,,
15.0,,,,,,,,7.32,,,0.0,,,,,,,,0.0,,,,
15.000000000000004,,,,,,,,,,,,0.0,,,,,,,,,,,
15.969999999999999,,,,,4.454,,,,,,,,,,,,,,,,,,
15.970000000000002,,,0.198,,,,,,,,,,,,,,,,,,,,
15.989999999999995,,,,5.656,,,,,,,,,,,,,,,,,,,
17.93,10.379,10.573,,,,,,,,,,,,,,,,,,,,,
17.95,,,,,,,,,,,,,,,,,0.0,,,,,0.0,
17.959999999999997,,,,,,,,,9.007,,,,,,,,,,,0.0,,,
17.96,,,,,,0.0,0.0,,,8.533,0.0,,,,,,,,,,,,0.0
17.97,,,,,,,,8.864,,,,,,,,,,,,,,,
17.970000000000002,,,,,,,,,,,,,8.619,8.451,,,,,,,0.0,,
17.979999999999997,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
17.99,,,,,,,,,,,,0.0,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,0.0,,,,
18.019999999999996,,,,,,,,,,,,,,,9.165,,,,,,,,
19.95,,,,,,,,,,,,,,,,,,,,,,0.0,
19.959999999999997,,,,,,,,,8.85,,,,,,,,0.0,,,0.0,,,
19.96,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0
19.97,,,,,4.618,,,9.291,,,,,,,,,,,,,,,
19.970000000000002,,,6.896,,,,,,,,,,9.48,9.423,,,,,,,0.0,,
19.979999999999997,,,,,,,,,,9.384,,,,,,0.0,,0.0,,,,,
