"tryptophan [mmol/L], fed-batch [h]",DDB_PD_002_AMBR_R8,DDB_PD_002_AMBR_R7,DDB_PD_072_AMBR_R7,DDB_PD_072_AMBR_R8,DDB_PD_074_AMBR_R12,DDB_PD_107_AMBR_R1,DDB_PD_107_AMBR_R10,DDB_PD_107_AMBR_R11,DDB_PD_107_AMBR_R12,DDB_PD_107_AMBR_R13,DDB_PD_107_AMBR_R2,DDB_PD_107_AMBR_R3,DDB_PD_107_AMBR_R5,DDB_PD_107_AMBR_R6,DDB_PD_107_AMBR_R7,DDB_PD_107_AMBR_R8,DDB_PD_107_AMBR_R9,DDB_PD_110_AMBR_R10,DDB_PD_110_AMBR_R5,DDB_PD_110_AMBR_R6,DDB_PD_110_AMBR_R7,DDB_PD_110_AMBR_R8,DDB_PD_110_AMBR_R9
-28.27,,,0.0,,,,,,,,,,,,,,,,,,,,
-26.67,,,,0.0,,,,,,,,,,,,,,,,,,,
-22.67,,,,,0.0,,,,,,,,,,,,,,,,,,
-19.33,0.0,,,,,,,,,,,,,,,,,,,,,,
-19.25,,0.0,,,,,,,,,,,,,,,,,,,,,
-15.93,,,0.044,,,,,,,,,,,,,,,,,,,,
-15.179999999999998,0.002,,,,,,,,,,,,,,,,,,,,,,
-15.120000000000001,,0.004,,,,,,,,,,,,,,,,,,,,,
-14.340000000000002,,,,0.051,,,,,,,,,,,,,,,,,,,
-12.349999999999998,,,,,,,,0.0,,,,,,,,,,,,,,,
-11.179999999999998,0.12,,,,,,,,,,,,,,,,,,,,,,
-11.12,,0.094,,,,,,,,,,,,,,,,,,,,,
-10.580000000000002,,,,,,,,,,,,,,,,0.0,,,,,,,
-10.330000000000002,,,,,0.0,,,,,,,,,,,,,,,,,,
-10.18,,,,,,,,,,,,,,,,,0.0,,,,,,
-10.09,,,,,,,,,0.0,,,,,,,,,,,,,,
-9.71,,,0.129,,,,,,,,,,,,,,,,,,,,
-8.34,,,,,,,,,,0.0,,,,,,,,,,,,,
-8.090000000000003,,,,0.169,,,,,,,,,,,,,,,,,,,
-7.660000000000002,,,,,0.0,,,,,,,,,,,,,,,,,,
-7.339999999999998,,,,,,,0.0,,,,,,,,,,,,,,,,
-7.24,,,,,,,,,,,,,,0.0,,,,,,,,,
-7.139999999999999,0.333,,,,,,,,,,,,,,,,,,,,,,
-7.09,,0.34,,,,,,,,,,,,,,,,,,,,,
-6.280000000000001,,,,,,,,,,,,,0.84,,,,,,,,,,
-6.080000000000002,,,,,,,,,,,,,,,,,,,0.0,,,,
-6.050000000000001,,,,,,,,,,,,,,,0.893,,,,,,,,
-5.990000000000002,,,,,,,,,,,,,,,,,,,,0.0,,,
-5.650000000000002,,,,,0.0,,,,,,,,,,,,,,,,,,
-5.490000000000002,,,,,,,,,,,,,,,,,,,,,0.552,,
-5.34,,,,,,,,,,,,,,,,,,,,,,,0.699
-4.790000000000003,,,,,,,,,,,,,,,,,,0.788,,,,,
-4.780000000000001,,,,,,,,,,,,,,,,,,,,,,0.75,
-4.690000000000001,,,0.367,,,,,,,,,,,,,,,,,,,,
-3.7799999999999994,,,,,,1.149,,,,,,,,,,,,,,,,,
-3.6499999999999986,,,,,,,,,,,,1.194,,,,,,,,,,,
-3.1799999999999997,0.869,,,,,,,,,,,,,,,,,,,,,,
-3.120000000000001,,0.814,,,,,,,,,,,,,,,,,,,,,
-3.0700000000000003,,,,0.504,,,,,,,,,,,,,,,,,,,
-3.01,,,,,,,,,,,1.341,,,,,,,,,,,,
-0.0799999999999983,,1.18,,,,,,,,,,,,,,,,,,,,,
-0.06999999999999673,1.399,,,,,,,,,,,,,,,,,,,,,,
-0.030000000000001137,,,0.597,,0.627,,,,,,,,,,,,,,,,,,
-0.010000000000001563,,,,0.563,,,,,,,,,,,,,,,,,,,
2.9299999999999997,,2.064,,,,,,,,,,,,,,,,,,,,,
2.9400000000000013,1.89,,,,,,,,,,,,,,,,,,,,,,
3.9499999999999993,,,,,,,,,,,,,,,,,,,,,,3.535,
3.960000000000001,,,,,,,3.742,,2.646,,4.435,,,,,,4.455,,,3.264,,,3.462
3.969999999999999,,,,,1.111,,,,,,,,,1.957,,,,,,,3.409,,
3.9700000000000024,,,1.306,,,3.948,,1.737,,,,,,,,,,,,,,,
3.979999999999997,,,,,,,,,,,,,,,,3.872,,4.146,,,,,
3.9800000000000004,,,,,,,,,,,,,1.956,,,,,,,,,,
3.9899999999999984,,,,1.145,,,,,,,,,,,1.991,,,,,,,,
3.990000000000002,,,,,,,,,,,,4.419,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,3.309,,,,
4.080000000000002,,,,,,,,,,1.891,,,,,,,,,,,,,
5.93,,2.91,,,,,,,,,,,,,,,,,,,,,
5.940000000000001,2.809,,,,,,,,,,,,,,,,,,,,,,
7.949999999999999,,,,,,,,,,,,,,,,,6.279,,,,,4.4,
7.959999999999997,,,,,,,,,4.256,,,,,,,,,,,,,,
7.960000000000001,,,,,,,5.406,,,,,,,,,,,,,4.809,,,4.319
7.969999999999999,,,,,1.584,,,2.655,,,,,,3.151,,,,,,,4.652,,
7.970000000000002,,,2.236,,,,,,,,,,,,,,,,,,,,
7.979999999999997,,,,,,,,,,,,,,,,5.03,,5.16,,,,,
7.98,,,,,,,,,,2.932,,,3.055,,,,,,,,,,
7.989999999999995,,,,2.119,,,,,,,,,,,,,,,,,,,
7.989999999999998,,,,,,,,,,,,,,,3.046,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,4.272,,,,
8.030000000000001,,,,,,5.838,,,,,,,,,,,,,,,,,
8.310000000000002,,,,,,,,,,,,6.319,,,,,,,,,,,
8.93,,3.967,,,,,,,,,,,,,,,,,,,,,
8.940000000000001,3.063,,,,,,,,,,,,,,,,,,,,,,
8.96,,,,,,,,,,,7.36,,,,,,,,,,,,
11.940000000000001,3.471,3.589,,,,,,,,,,,,,,,,,,,,,
11.95,,,,,,,,,,,,,,,,,,,,,,6.436,
11.959999999999997,,,,,,,,,4.577,,,,,,,,7.194,,,5.938,,,
11.96,,,,,,6.899,5.944,,,,7.794,,,,,,,,,,,,5.351
11.969999999999999,,,,,0.0,,,,,,,,,,,,,,,,,,
11.970000000000002,,,2.543,,,,,,,,,,3.566,3.709,,,,,,,5.969,,
11.979999999999997,,,,,,,,,,3.218,,,,,,5.778,,5.967,,,,,
11.989999999999995,,,,2.308,,,,,,,,,,,,,,,,,,,
11.990000000000002,,,,,,,,3.048,,,,7.469,,,3.718,,,,,,,,
12.0,,,,,,,,,,,,,,,,,,,5.566,,,,
14.93,,2.827,,,,,,,,,,,,,,,,,,,,,
14.940000000000005,2.497,,,,,,,,,,,,,,,,,,,,,,
14.95,,,,,,,,,,,,,,,,,8.476,,,,,9.268,
14.959999999999997,,,,,,,,,4.263,,,,,,,,,,,8.121,,,
14.96,,,,,,,6.693,,,2.688,,,,,,,,,,,,,8.84
14.969999999999999,,,,,,8.602,,,,,,,,,,,,,,,,,
14.970000000000002,,,,,,,,,,,,,3.804,3.561,,,,,,,7.753,,
14.979999999999997,,,,,,,,,,,,,,,,7.555,,8.886,,,,,
14.990000000000002,,,,,,,,,,,,,,,3.687,,,,,,,,
15.0,,,,,,,,3.043,,,8.548,,,,,,,,6.232,,,,
15.000000000000004,,,,,,,,,,,,8.629,,,,,,,,,,,
15.969999999999999,,,,,1.77,,,,,,,,,,,,,,,,,,
15.970000000000002,,,0.056,,,,,,,,,,,,,,,,,,,,
15.989999999999995,,,,1.901,,,,,,,,,,,,,,,,,,,
17.93,2.019,2.059,,,,,,,,,,,,,,,,,,,,,
17.95,,,,,,,,,,,,,,,,,9.368,,,,,10.989,
17.959999999999997,,,,,,,,,3.485,,,,,,,,,,,8.76,,,
17.96,,,,,,9.592,7.637,,,2.266,11.289,,,,,,,,,,,,11.065
17.97,,,,,,,,2.719,,,,,,,,,,,,,,,
17.970000000000002,,,,,,,,,,,,,3.409,3.442,,,,,,,7.676,,
17.979999999999997,,,,,,,,,,,,,,,,7.541,,12.205,,,,,
17.99,,,,,,,,,,,,10.651,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,8.68,,,,
18.019999999999996,,,,,,,,,,,,,,,3.338,,,,,,,,
19.95,,,,,,,,,,,,,,,,,,,,,,12.76,
19.959999999999997,,,,,,,,,2.446,,,,,,,,9.768,,,10.605,,,
19.96,,,,,,10.6,8.294,,,,11.544,,,,,,,,,,,,12.336
19.97,,,,,1.298,,,2.197,,,,,,,,,,,,,,,
19.970000000000002,,,1.355,,,,,,,,,,3.181,3.342,,,,,,,10.211,,
19.979999999999997,,,,,,,,,,1.672,,,,,,8.367,,12.222,,,,,
