tick,n_cells,rss_mb,numpy_mb,native_mb
0,1,1100.7,10.5,1090.2
25,1,1125.3,9.5,1115.8
50,1,1131.0,9.5,1121.5
75,1,1138.8,9.5,1129.3
100,1,1141.6,9.5,1132.1
125,1,1146.0,9.5,1136.5
150,1,1154.3,9.6,1144.7
175,1,1159.3,9.6,1149.6
200,1,1166.2,9.6,1156.5
225,1,1173.9,9.7,1164.3
250,1,1178.3,9.7,1168.7
275,1,1184.0,9.7,1174.3
300,1,1190.8,9.7,1181.1
325,1,1195.5,9.7,1185.8
350,1,1203.4,9.7,1193.6
351,2,1203.3,9.7,1193.6
375,2,1518.8,22.7,1496.1
400,2,1539.7,22.7,1517.0
425,2,1552.5,22.7,1529.8
450,2,1565.9,22.7,1543.2
475,2,1581.3,22.7,1558.6
500,2,1594.6,22.7,1571.9
525,2,1609.8,23.1,1586.8
550,2,1625.3,23.1,1602.2
575,2,1633.5,23.1,1610.4
600,2,1645.4,23.1,1622.3
625,2,1659.7,23.1,1636.6
650,2,1671.8,23.1,1648.7
675,2,1683.7,23.1,1660.6
700,2,1696.1,23.2,1672.9
702,4,1696.1,23.2,1672.9
725,4,2293.8,49.1,2244.7
750,4,2333.9,49.1,2284.8
775,4,2367.9,49.1,2318.8
800,4,2394.9,49.2,2345.8
825,4,2420.6,49.2,2371.4
850,4,2444.5,49.2,2395.3
875,4,2451.3,49.9,2401.5
900,4,2486.9,49.9,2437.1
925,4,2528.3,49.9,2478.4
950,4,2550.4,49.9,2500.5
975,4,2572.3,49.9,2522.4
1000,4,2591.6,49.9,2541.7
1025,4,2615.6,49.9,2565.8
1050,4,2641.5,50.1,2591.3
1053,8,2645.4,50.1,2595.2
