arm	design	medium	lineage_seed	generation	agent_id	objective_titer	growth_rate
reference|medium_a	reference	medium_a	0	5	05	1.015987	0.998701
reference|medium_a	reference	medium_a	0	6	06	1.032279	0.998789
reference|medium_a	reference	medium_a	0	7	07	0.96807	1.010405
reference|medium_a	reference	medium_a	0	8	08	0.997701	1.025512
reference|medium_a	reference	medium_a	1	5	15	0.991579	1.063542
reference|medium_a	reference	medium_a	1	6	16	1.030329	1.061445
reference|medium_a	reference	medium_a	1	7	17	1.041942	0.998252
reference|medium_a	reference	medium_a	1	8	18	0.925022	1.012662
reference|medium_a	reference	medium_a	2	5	25	0.959252	1.079106
reference|medium_a	reference	medium_a	2	6	26	0.945623	1.013016
reference|medium_a	reference	medium_a	2	7	27	1.008689	0.961449
reference|medium_a	reference	medium_a	2	8	28	0.995787	0.985591
reference|medium_a	reference	medium_a	3	5	35	1.099646	1.035767
reference|medium_a	reference	medium_a	3	6	36	1.004365	0.991874
reference|medium_a	reference	medium_a	3	7	37	0.989512	0.987493
reference|medium_a	reference	medium_a	3	8	38	1.02208	1.082328
moderate|medium_a	moderate	medium_a	0	5	05	1.50605	0.980627
moderate|medium_a	moderate	medium_a	0	6	06	1.445017	0.964756
moderate|medium_a	moderate	medium_a	0	7	07	1.348766	0.874894
moderate|medium_a	moderate	medium_a	0	8	08	1.432977	0.923135
moderate|medium_a	moderate	medium_a	1	5	15	1.380937	0.895373
moderate|medium_a	moderate	medium_a	1	6	16	1.59454	0.968893
moderate|medium_a	moderate	medium_a	1	7	17	1.387143	0.89043
moderate|medium_a	moderate	medium_a	1	8	18	1.392742	0.85489
moderate|medium_a	moderate	medium_a	2	5	25	1.414722	0.882738
moderate|medium_a	moderate	medium_a	2	6	26	1.371734	0.890313
moderate|medium_a	moderate	medium_a	2	7	27	1.437056	0.921793
moderate|medium_a	moderate	medium_a	2	8	28	1.346301	0.899155
moderate|medium_a	moderate	medium_a	3	5	35	1.42273	0.993468
moderate|medium_a	moderate	medium_a	3	6	36	1.381859	0.885345
moderate|medium_a	moderate	medium_a	3	7	37	1.423781	0.97963
moderate|medium_a	moderate	medium_a	3	8	38	1.308507	0.962237
strong|medium_a	strong	medium_a	0	5	05	1.706358	0.618734
strong|medium_a	strong	medium_a	0	6	06	1.674695	0.692602
strong|medium_a	strong	medium_a	0	7	07	1.767752	0.689046
strong|medium_a	strong	medium_a	0	8	08	1.643129	0.625399
strong|medium_a	strong	medium_a	1	5	15	1.710942	0.601962
strong|medium_a	strong	medium_a	1	6	16	1.73128	0.61361
strong|medium_a	strong	medium_a	1	7	17	1.63666	0.646919
strong|medium_a	strong	medium_a	1	8	18	1.781057	0.647651
strong|medium_a	strong	medium_a	2	5	25	1.828457	0.710285
strong|medium_a	strong	medium_a	2	6	26	1.773732	0.641384
strong|medium_a	strong	medium_a	2	7	27	1.663719	0.613862
strong|medium_a	strong	medium_a	2	8	28	1.790954	0.662451
strong|medium_a	strong	medium_a	3	5	35	1.736725	0.644683
strong|medium_a	strong	medium_a	3	6	36	1.687927	0.624283
strong|medium_a	strong	medium_a	3	7	37	1.827026	0.643102
strong|medium_a	strong	medium_a	3	8	38	1.787747	0.573775
reference|medium_b	reference	medium_b	0	5	05	1.039122	0.997907
reference|medium_b	reference	medium_b	0	6	06	1.016786	0.987657
reference|medium_b	reference	medium_b	0	7	07	1.00495	0.992739
reference|medium_b	reference	medium_b	0	8	08	0.941907	0.990695
reference|medium_b	reference	medium_b	1	5	15	1.018442	0.957745
reference|medium_b	reference	medium_b	1	6	16	0.994597	0.993913
reference|medium_b	reference	medium_b	1	7	17	1.012734	0.933556
reference|medium_b	reference	medium_b	1	8	18	0.932576	1.050339
reference|medium_b	reference	medium_b	2	5	25	1.022381	1.033611
reference|medium_b	reference	medium_b	2	6	26	1.012909	1.002797
reference|medium_b	reference	medium_b	2	7	27	0.971289	0.976543
reference|medium_b	reference	medium_b	2	8	28	0.971232	1.032959
