config,seed,generation,saturation_events,max_oriC
ctrl,2,1,1,2
ctrl,2,2,1,2
ctrl,2,3,1,2
ctrl,2,4,1,2
ctrl,2,5,1,2
ctrl,2,6,1,2
ctrl,2,7,1,2
ctrl,0,1,1,2
ctrl,0,2,1,2
ctrl,0,3,1,2
ctrl,0,4,1,2
ctrl,0,5,1,2
ctrl,0,6,1,2
ctrl,0,7,1,2
ctrl,0,8,1,2
ctrl,0,9,0,1
ctrl,1,1,1,2
ctrl,1,2,1,2
ctrl,1,3,1,2
ctrl,1,4,1,2
ctrl,1,5,1,2
ctrl,1,6,1,2
ctrl,1,7,1,2
ctrl,1,8,1,2
ctrl,1,9,0,1
ecl40_rida06,0,1,1,2
ecl40_rida06,0,2,1,2
ecl40_rida06,0,3,1,2
ecl40_rida06,0,4,1,2
ecl40_rida06,0,5,1,2
ecl40_rida06,0,6,1,2
ecl40_rida06,0,7,1,2
ecl40_rida06,0,8,1,2
ecl40_rida06,0,9,0,1
ecl40_rida06,1,1,1,2
ecl40_rida06,1,2,1,2
ecl40_rida06,1,3,1,2
ecl40_rida06,1,4,1,2
ecl40_rida06,1,5,1,2
ecl40_rida06,1,6,1,2
ecl40_rida06,1,7,1,2
ecl40_rida06,1,8,1,2
ecl40_rida06,1,9,0,1
ecl40_rida06,2,1,1,2
ecl40_rida06,2,2,1,2
ecl40_rida06,2,3,1,2
ecl40_rida06,2,4,1,2
ecl40_rida06,2,5,1,2
ecl40_rida06,2,6,1,2
ecl40_rida06,2,7,1,2
ecl40_rida06,2,8,1,2
ecl40_rida06,2,9,0,1
