n,K_nM,composite,cyclic_ok,band_ok,pass,mean_total_dnaa,dnaa_drift,dnaa_cv,atp_fraction,atp_in_band,n_gens
1,15,0.916,True,True,True,477.9,0.159,0.067,0.013,False,8
1,20,0.922,True,True,True,476.5,0.149,0.061,0.021,False,8
1,30,0.859,True,False,False,392.6,0.327,0.146,0.049,False,7
1,40,0.903,True,True,True,571.1,0.168,0.082,0.016,False,8
2,15,0.85,False,True,False,471.1,0.032,0.066,0.019,False,8
2,20,0.924,True,True,True,463.6,0.11,0.059,0.031,False,8
2,30,0.904,True,True,True,438.1,0.142,0.08,0.026,False,8
2,40,0.943,True,True,True,518.8,0.059,0.041,0.022,False,8
4,15,0.787,False,True,False,507.2,0.142,0.063,0.028,False,8
4,20,0.94,True,True,True,499.3,0.061,0.044,0.01,False,8
4,30,0.915,True,True,True,458.4,0.112,0.069,0.023,False,8
4,40,0.908,True,True,True,485.7,0.162,0.077,0.025,False,8
6,15,0.859,False,True,False,464.8,0.147,0.057,0.045,False,8
6,20,0.623,False,False,False,398.0,0.341,0.174,0.023,False,6
6,30,0.921,True,True,True,463.9,0.029,0.062,0.025,False,8
6,40,0.896,True,False,False,501.2,0.227,0.091,0.019,False,8
8,15,0.78,False,True,False,411.8,0.045,0.071,0.029,False,8
8,20,0.875,True,True,True,430.0,0.122,0.12,0.036,False,8
8,30,0.873,False,True,False,483.5,0.092,0.044,0.027,False,8
8,40,0.913,True,True,True,469.2,0.126,0.07,0.025,False,8
