n,K_nM,generation,fire_events,max_oric,mean_total_dnaa,mean_atp_fraction
1,15,1,1,2,486.9,0.158
1,15,2,1,2,500.4,0.014
1,15,3,1,2,524.3,0.011
1,15,4,1,2,495.8,0.006
1,15,5,1,2,501.2,0.021
1,15,6,1,2,473.6,0.006
1,15,7,1,2,502.1,0.021
1,15,8,1,2,417.0,0.013
1,20,1,1,2,545.0,0.16
1,20,2,1,2,506.1,0.006
1,20,3,1,2,465.9,0.017
1,20,4,1,2,434.0,0.021
1,20,5,1,2,496.8,0.015
1,20,6,1,2,503.6,0.009
1,20,7,1,2,449.3,0.033
1,20,8,1,2,498.8,0.026
1,30,1,1,2,579.7,0.162
1,30,2,1,2,703.8,0.009
1,30,3,1,2,643.4,0.004
1,30,4,1,2,463.3,0.02
1,30,5,1,2,425.3,0.029
1,30,6,1,2,369.9,0.053
1,30,7,1,2,311.8,0.095
1,40,1,1,2,553.2,0.165
1,40,2,1,2,627.0,0.022
1,40,3,1,2,616.8,0.016
1,40,4,1,2,599.1,0.02
1,40,5,1,2,637.2,0.013
1,40,6,1,2,550.1,0.015
1,40,7,1,2,570.8,0.02
1,40,8,1,2,498.3,0.014
2,15,1,1,2,541.8,0.157
2,15,2,1,2,583.0,0.004
2,15,3,1,2,559.9,0.002
2,15,4,1,2,499.7,0.025
2,15,5,1,2,456.9,0.019
2,15,6,1,2,433.4,0.012
2,15,7,1,2,449.8,0.009
2,15,8,2,4,515.8,0.026
2,20,1,1,2,559.6,0.158
2,20,2,1,2,556.1,0.004
2,20,3,1,2,495.8,0.009
2,20,4,1,2,498.0,0.014
2,20,5,1,2,491.3,0.049
2,20,6,1,2,458.3,0.015
2,20,7,1,2,427.3,0.017
2,20,8,1,2,443.0,0.063
2,30,1,1,2,523.1,0.161
2,30,2,1,2,496.1,0.013
2,30,3,1,2,451.5,0.015
2,30,4,1,2,428.1,0.025
2,30,5,1,2,467.1,0.017
2,30,6,1,2,391.5,0.035
2,30,7,1,2,414.9,0.034
2,30,8,1,2,488.7,0.021
2,40,1,1,2,547.0,0.163
2,40,2,1,2,549.0,0.011
2,40,3,1,2,513.6,0.03
2,40,4,1,2,526.2,0.016
2,40,5,1,2,497.4,0.038
2,40,6,1,2,508.0,0.017
2,40,7,1,2,505.1,0.018
2,40,8,1,2,557.1,0.02
4,15,1,1,4,723.1,0.154
4,15,2,1,4,617.8,0.039
4,15,3,0,2,495.4,0.008
4,15,4,1,2,482.7,0.016
4,15,5,1,2,481.3,0.065
4,15,6,1,2,479.5,0.013
4,15,7,2,4,541.0,0.04
4,15,8,1,4,551.4,0.007
4,20,1,1,4,701.7,0.155
4,20,2,0,2,585.3,0.083
4,20,3,1,2,489.4,0.019
4,20,4,1,2,518.0,0.005
4,20,5,1,2,528.1,0.004
4,20,6,1,2,496.2,0.004
4,20,7,1,2,467.3,0.021
4,20,8,1,2,486.7,0.017
4,30,1,1,2,581.9,0.16
4,30,2,1,2,518.7,0.004
4,30,3,1,2,435.8,0.017
4,30,4,1,2,456.9,0.025
4,30,5,1,2,501.3,0.021
4,30,6,1,2,476.1,0.014
4,30,7,1,2,452.0,0.014
4,30,8,1,2,405.6,0.039
4,40,1,1,2,512.9,0.163
4,40,2,1,2,464.2,0.02
4,40,3,1,2,548.6,0.024
4,40,4,1,2,546.4,0.01
4,40,5,1,2,511.7,0.013
4,40,6,1,2,462.2,0.018
4,40,7,1,2,450.2,0.037
4,40,8,1,2,458.2,0.047
6,15,1,1,4,681.2,0.157
6,15,2,1,4,631.1,0.016
6,15,3,0,2,514.6,0.049
6,15,4,1,2,440.2,0.014
6,15,5,1,2,431.3,0.018
6,15,6,1,2,470.4,0.073
6,15,7,0,2,477.0,0.031
6,15,8,1,2,504.8,0.091
6,20,1,1,4,676.9,0.157
6,20,2,0,2,607.7,0.024
6,20,3,1,2,474.5,0.013
6,20,4,0,2,456.5,0.027
6,20,5,1,2,436.7,0.041
6,20,6,0,1,300.8,0.002
6,30,1,1,2,536.2,0.16
6,30,2,1,2,551.4,0.007
6,30,3,1,2,499.3,0.011
6,30,4,1,2,494.6,0.033
6,30,5,1,2,418.7,0.013
6,30,6,1,2,442.4,0.016
6,30,7,1,2,483.6,0.022
6,30,8,1,2,480.1,0.039
6,40,1,1,2,509.5,0.162
6,40,2,1,2,503.7,0.017
6,40,3,1,2,513.7,0.016
6,40,4,1,2,544.4,0.01
6,40,5,1,2,503.2,0.017
6,40,6,1,2,546.3,0.011
6,40,7,1,2,491.3,0.012
6,40,8,1,2,420.8,0.043
8,15,1,1,4,910.8,0.155
8,15,2,0,2,650.2,0.116
8,15,3,0,2,479.2,0.036
8,15,4,0,2,432.0,0.012
8,15,5,1,2,365.3,0.011
8,15,6,1,2,402.2,0.089
8,15,7,1,2,408.1,0.021
8,15,8,0,2,451.4,0.013
8,20,1,1,2,519.0,0.158
8,20,2,1,2,486.6,0.007
8,20,3,1,2,525.5,0.027
8,20,4,1,2,512.6,0.014
8,20,5,1,2,435.9,0.07
8,20,6,1,2,368.2,0.028
8,20,7,1,2,383.2,0.031
8,20,8,1,2,450.2,0.038
8,30,1,1,2,502.1,0.16
8,30,2,0,2,485.5,0.011
8,30,3,1,2,480.8,0.009
8,30,4,1,2,494.5,0.021
8,30,5,1,2,510.7,0.013
8,30,6,1,2,470.8,0.043
8,30,7,1,2,492.6,0.032
8,30,8,0,2,448.9,0.029
8,40,1,1,2,531.5,0.162
8,40,2,1,2,575.0,0.01
8,40,3,1,2,594.6,0.004
8,40,4,1,2,518.3,0.012
8,40,5,1,2,420.5,0.039
8,40,6,1,2,464.7,0.023
8,40,7,1,2,489.3,0.014
8,40,8,1,2,453.2,0.037
