$	0m	0m	1m	1m	1m	2m	2m	2m
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	120.0000	120.0000	120.0000	120.0000	120.0000	120.0000	120.0000	120.0000
1-PFK-MONOMER	75.0000	77.4762	81.0952	85.2727	88.6190	89.0000	89.0000	89.0000
2-DEHYDROPANTOATE-REDUCT-MONOMER	170.0000	171.8571	173.1429	176.4091	183.3810	191.7273	195.4762	202.3182
2-ISOPROPYLMALATESYN-MONOMER	1905.0000	1906.0952	1909.6667	1914.2727	1937.7619	1982.1364	2034.0476	2109.4545
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	276.0000	275.7619	275.0000	274.0000	274.0000	273.2727	273.0000	273.0000
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	2719.0000	2719.0000	2719.0000	2719.5909	2728.2381	2745.2727	2760.3810	2776.0455
3-ISOPROPYLMALDEHYDROG-MONOMER	3408.0000	3409.0952	3413.8095	3417.4545	3429.3333	3461.7273	3518.2857	3581.0455
3-OXOACYL-ACP-REDUCT-MONOMER	3053.0000	3060.4286	3078.8571	3099.5000	3127.5714	3149.4545	3175.4286	3202.6818
3-OXOACYL-ACP-SYNTHII-MONOMER	1063.0000	1063.0000	1067.4286	1071.0000	1074.2381	1078.9091	1081.1905	1083.6364
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000
6PFK-1-MONOMER	2133.0000	2133.0000	2133.0000	2133.0000	2133.0000	2133.0000	2133.0000	2133.0000
6PFK-2-MONOMER	130.0000	130.0000	130.0000	130.1364	136.9524	145.0455	156.6190	164.5909
6PGLUCONDEHYDROG-MONOMER	2152.0000	2155.4762	2161.0952	2174.2727	2182.6667	2193.2727	2198.6190	2205.9091
6PGLUCONOLACT-MONOMER	804.0000	804.0000	804.0000	803.6818	802.1905	801.0000	800.5714	800.0000
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	425.0000	425.0000	426.5238	437.1818	448.3333	458.7727	477.5714	491.9545
7KAPSYN-MONOMER	127.0000	128.8571	131.4286	135.3636	136.8095	140.6818	145.0000	146.2273
AAS-MONOMER	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000
