$	0m	0m	1m	1m	1m	2m	2m	2m
EG10001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10004	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10011	0.0000	0.0000	0.0000	0.0000	0.0000	0.4091	1.0000	0.4091
EG10012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10013	1.0000	0.0476	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10015	1.0000	1.0000	1.0000	1.7727	2.0000	2.0000	2.0000	2.0000
EG10016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10017	0.0000	0.0000	0.0000	0.0000	0.8095	1.0000	1.0000	0.7727
EG10018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10022	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG10023	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG10024	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG10025	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG10026	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10027	2.0000	2.0000	1.9048	1.0000	1.0000	1.0000	1.0000	1.0000
EG10028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	1.0000
EG10030	1.0000	1.0000	1.0000	1.0000	0.3333	0.0000	0.0000	0.0000
EG10031	1.0000	1.0000	1.0000	1.0000	0.5714	0.0000	0.0000	0.0000
EG10032	4.0000	3.4286	2.3810	3.0000	4.0000	5.0000	5.0000	4.2727
EG10033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10034	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10035	3.0000	3.0000	3.0000	3.0000	2.4286	2.0000	2.0000	2.0000
EG10036	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	1.0000
EG10039	1.0000	1.0000	1.0000	1.0000	0.2381	0.0000	0.0000	0.0000
EG10040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10043	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10045	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
