# genome_length_bp=4641652
old_locus_tag,locus_tag,start,end,strand,biotype
EG11277,thrL,190,255,+,protein_coding
EG10998,thrA,337,2799,+,protein_coding
EG10999,thrB,2801,3733,+,protein_coding
EG11000,thrC,3734,5020,+,protein_coding
G6081,yaaX,5234,5530,+,protein_coding
EG10011,yaaA,5683,6459,-,protein_coding
EG11555,yaaJ,6529,7959,-,protein_coding
EG11556,talB,8238,9191,+,protein_coding
EG11511,mogA,9306,9893,+,protein_coding
EG11512,satP,9928,10494,-,protein_coding
G6082,yaaW,10643,11356,-,protein_coding
EG11509,mbiA,10830,11315,+,protein_coding
G8202,yaaI,11382,11786,-,protein_coding
EG10241,dnaK,12163,14079,+,protein_coding
G0-8893,tpke11,14080,14167,+,protein_coding
EG10240,dnaJ,14168,15298,+,protein_coding
G6083,insL1,15445,16557,+,protein_coding
G6084,null,15869,16177,-,protein_coding
EG10373,mokC,16751,16960,-,protein_coding
G0-9563,hokC,16751,16903,-,protein_coding
G0-9581,sokC,16952,17010,+,protein_coding
EG10652,nhaA,17489,18655,+,protein_coding
EG11078,nhaR,18715,19620,+,protein_coding
G0-10535,insAB1,19811,20508,-,protein_coding
G6085,insB1,19811,20314,-,protein_coding
G6086,insA1,20233,20508,-,protein_coding
EG10919,rpsT,20815,21078,-,protein_coding
G6087,yaaY,21181,21399,+,protein_coding
EG11079,ribF,21407,22348,+,protein_coding
EG10492,ileS,22391,25207,+,protein_coding
EG10548,lspA,25207,25701,+,protein_coding
EG11080,fkpB,25826,26275,+,protein_coding
EG11081,ispH,26277,27227,+,protein_coding
EG11082,rihC,27293,28207,+,protein_coding
EG10206,dapB,28374,29195,+,protein_coding
EG10134,carA,29651,30799,+,protein_coding
EG10135,carB,30817,34038,+,protein_coding
G6088,caiF,34300,34695,+,protein_coding
EG12608,caiE,34781,35371,-,protein_coding
EG11557,caiD,35377,36162,-,protein_coding
EG11558,caiC,36271,37824,-,protein_coding
EG11559,caiB,37898,39115,-,protein_coding
EG11560,caiA,39244,40386,-,protein_coding
EG11561,caiT,40417,41931,-,protein_coding
EG11562,fixA,42403,43173,+,protein_coding
EG11563,fixB,43188,44129,+,protein_coding
EG11564,fixC,44180,45466,+,protein_coding
EG11565,fixX,45463,45750,+,protein_coding
EG11566,yaaU,45807,47138,+,protein_coding
EG11568,kefF,47246,47776,+,protein_coding
EG10521,kefC,47769,49631,+,protein_coding
EG10326,folA,49823,50302,+,protein_coding
EG10048,apaH,50380,51222,-,protein_coding
EG10047,apaG,51229,51606,-,protein_coding
EG10523,rsmA,51609,52430,-,protein_coding
EG10691,pdxA,52427,53416,-,protein_coding
EG10985,surA,53416,54702,-,protein_coding
EG11569,lptD,54755,57109,-,protein_coding
EG11570,djlA,57364,58179,+,protein_coding
EG12610,yabP,58474,59124,+,protein_coding
EG12611,yabQ,59121,59279,+,protein_coding
EG12609,rluA,59687,60346,-,protein_coding
EG11083,rapA,60358,63264,-,protein_coding
EG10747,polB,63429,65780,-,protein_coding
EG10055,araD,65855,66550,-,protein_coding
EG10052,araA,66835,68337,-,protein_coding
EG10053,araB,68348,70048,-,protein_coding
EG10054,araC,70387,71265,+,protein_coding
EG11571,yabI,71351,72115,+,protein_coding
EG11572,thiQ,72229,72927,-,protein_coding
EG11573,thiP,72911,74521,-,protein_coding
EG11574,thiB,74497,75480,-,protein_coding
G0-9381,sroA,75516,75608,-,protein_coding
EG12094,sgrR,75644,77299,-,protein_coding
G0-9941,sgrS,77367,77593,+,protein_coding
G0-10617,sgrT,77388,77519,+,protein_coding
EG11754,setA,77621,78799,+,protein_coding
EG11575,leuD,78848,79453,-,protein_coding
EG11576,leuC,79464,80864,-,protein_coding
EG11577,leuB,80867,81958,-,protein_coding
EG11226,leuA,81958,83529,-,protein_coding
EG11280,leuL,83622,83708,-,protein_coding
EG10531,leuO,84368,85312,+,protein_coding
G0-16721,yabR,85467,85511,-,protein_coding
EG10500,ilvI,85630,87354,+,protein_coding
EG10499,ilvH,87357,87848,+,protein_coding
EG11273,fruL,87860,87946,+,protein_coding
EG10338,cra,88028,89032,+,protein_coding
EG11084,mraZ,89634,90092,+,protein_coding
EG11085,rsmH,90094,91035,+,protein_coding
EG11086,ftsL,91032,91397,+,protein_coding
EG10341,ftsI,91413,93179,+,protein_coding
G0-17085,ftsO,92485,92658,+,protein_coding
EG10621,murE,93166,94653,+,protein_coding
EG10622,murF,94650,96008,+,protein_coding
EG10604,mraY,96002,97084,+,protein_coding
EG10620,murD,97087,98403,+,protein_coding
EG10344,ftsW,98403,99647,+,protein_coding
EG10623,murG,99644,100711,+,protein_coding
EG10619,murC,100765,102240,+,protein_coding
EG10214,ddlB,102233,103153,+,protein_coding
EG10342,ftsQ,103155,103985,+,protein_coding
EG10339,ftsA,103982,105244,+,protein_coding
G0-17120,stfZ,104948,105499,-,protein_coding
EG10347,ftsZ,105305,106456,+,protein_coding
EG10265,lpxC,106557,107474,+,protein_coding
EG11087,secM,107705,108217,+,protein_coding
EG10936,secA,108279,110984,+,protein_coding
EG10626,mutT,111044,111433,+,protein_coding
G6089,b0100,111564,111698,-,protein_coding
EG12314,yacG,111649,111846,-,protein_coding
EG12313,zapD,111856,112599,-,protein_coding
EG12312,coaE,112599,113219,-,protein_coding
G0-16722,yacM,113244,113288,+,protein_coding
EG10422,guaC,113444,114487,+,protein_coding
G6090,b0105,114407,114514,-,protein_coding
EG11798,hofC,114522,115724,-,protein_coding
EG12106,hofB,115714,117099,-,protein_coding
EG12107,ppdD,117109,117549,-,protein_coding
EG11546,nadC,117752,118645,-,protein_coding
EG10041,ampD,118733,119284,+,protein_coding
EG10042,ampE,119281,120135,+,protein_coding
EG10084,aroP,120178,121551,-,protein_coding
EG11088,pdhR,122092,122856,+,protein_coding
G0-8894,tp2,122697,122857,-,protein_coding
EG10024,aceE,123017,125680,+,protein_coding
EG10025,aceF,125695,127587,+,protein_coding
EG10543,lpd,127912,129336,+,protein_coding
EG12315,yacH,129407,131260,-,protein_coding
EG12316,acnB,131615,134212,+,protein_coding
EG12605,yacL,134388,134750,+,protein_coding
EG10962,speD,134788,135582,-,protein_coding
EG10963,speE,135598,136464,-,protein_coding
EG11089,yacC,136570,136917,-,protein_coding
EG12318,cueO,137083,138633,+,protein_coding
EG10369,gcd,138835,141225,-,protein_coding
EG20098,hpt,141431,141967,+,protein_coding
EG12319,can,142008,142670,-,protein_coding
EG12320,yadG,142779,143705,+,protein_coding
EG12321,yadH,143702,144472,+,protein_coding
EG12322,yadI,144577,145017,+,protein_coding
EG11749,yadE,145081,146310,+,protein_coding
EG11747,panD,146314,146694,-,protein_coding
EG11748,rpnC,146968,147870,+,protein_coding
EG11746,panC,147944,148795,-,protein_coding
EG11675,panB,148807,149601,-,protein_coding
EG11678,yadC,149715,150953,-,protein_coding
EG12325,yadK,151003,151599,-,protein_coding
EG12326,yadL,151626,152231,-,protein_coding
EG12327,yadM,152243,152812,-,protein_coding
EG11972,htrE,152829,155426,-,protein_coding
EG11973,yadV,155461,156201,-,protein_coding
EG12328,yadN,156299,156883,-,protein_coding
EG11374,folK,157253,157732,-,protein_coding
EG10690,pcnB,157729,159126,-,protein_coding
EG11362,gluQ,159186,160112,-,protein_coding
EG10230,dksA,160149,160604,-,protein_coding
EG10949,sfsA,160782,161486,-,protein_coding
EG12330,thpR,161501,162031,-,protein_coding
EG12329,hrpB,162105,164534,+,protein_coding
EG10605,mrcB,164730,167264,+,protein_coding
EG10302,fhuA,167484,169727,+,protein_coding
EG10304,fhuC,169778,170575,+,protein_coding
EG10305,fhuD,170575,171465,+,protein_coding
EG10303,fhuB,171462,173444,+,protein_coding
EG10432,hemL,173602,174882,-,protein_coding
G0-17011,yadX,175048,175095,+,protein_coding
EG12331,clcA,175107,176528,+,protein_coding
G0-16723,yadW,176552,176617,+,protein_coding
EG12332,erpA,176610,176954,+,protein_coding
EG12333,yadS,177001,177624,-,protein_coding
EG12334,btuF,177662,178462,-,protein_coding
EG11090,mtn,178455,179153,-,protein_coding
EG10225,dgt,179237,180754,+,protein_coding
EG10463,degP,180884,182308,+,protein_coding
EG12335,cdaR,182463,183620,+,protein_coding
EG12336,yaeH,183709,184095,-,protein_coding
EG12337,yaeI,184257,185069,-,protein_coding
G6091,b0165,184987,185118,-,protein_coding
EG10207,dapD,185123,185947,-,protein_coding
EG11411,glnD,185978,188650,-,protein_coding
EG10570,map,188712,189506,-,protein_coding
G0-8895,tff,189712,189847,+,protein_coding
EG10901,rpsB,189874,190599,+,protein_coding
EG11033,tsf,190857,191708,+,protein_coding
EG11539,pyrH,191855,192580,+,protein_coding
EG10335,frr,192872,193429,+,protein_coding
EG12715,dxr,193521,194717,+,protein_coding
G0-17084,ispZ,194784,194844,+,protein_coding
G6092,ispU,194903,195664,+,protein_coding
EG10139,cdsA,195677,196534,+,protein_coding
EG12436,rseP,196546,197898,+,protein_coding
G6093,bamA,197928,200360,+,protein_coding
EG10455,skp,200482,200967,+,protein_coding
EG10316,lpxD,200971,201996,+,protein_coding
EG11284,fabZ,202101,202556,+,protein_coding
EG10545,lpxA,202560,203348,+,protein_coding
EG10546,lpxB,203348,204496,+,protein_coding
EG10861,rnhB,204493,205089,+,protein_coding
EG10238,dnaE,205126,208608,+,protein_coding
EG11647,accA,208621,209580,+,protein_coding
G6094,ldcC,209679,211820,+,protein_coding
G6095,yaeR,211877,212266,+,protein_coding
G6096,tilS,212331,213629,+,protein_coding
G6097,rof,213678,213932,-,protein_coding
G372,yaeP,213925,214125,-,protein_coding
G6098,yaeQ,214291,214836,+,protein_coding
EG12354,arfB,214833,215255,+,protein_coding
EG12137,nlpE,215269,215979,+,protein_coding
EG12138,yaeF,216179,217003,-,protein_coding
EG10770,proS,217057,218775,-,protein_coding
EG11503,trmO,218887,219594,-,protein_coding
EG11502,rcsF,219591,219995,-,protein_coding
EG11504,metQ,220113,220928,-,protein_coding
EG11737,metI,220968,221621,-,protein_coding
EG11621,metN,221614,222645,-,protein_coding
EG11736,gmhB,222833,223408,+,protein_coding
EG30090,rrsH,223771,225312,+,protein_coding
EG30045,ileV,225381,225457,+,protein_coding
EG30010,alaV,225500,225575,+,protein_coding
EG30083,rrlH,225759,228662,+,protein_coding
EG30076,rrfH,228756,228875,+,protein_coding
EG30024,aspU,228928,229004,+,protein_coding
EG11648,dkgB,229167,229970,+,protein_coding
EG11649,yafC,229967,230881,-,protein_coding
EG11650,yafD,231122,231922,+,protein_coding
EG11651,yafE,231926,232549,+,protein_coding
EG10246,mltD,232597,233955,-,protein_coding
G6099,gloB,234027,234782,-,protein_coding
G0-17090,ykfO,234288,234320,+,protein_coding
G6100,yafS,234816,235538,+,protein_coding
EG10860,rnhA,235535,236002,-,protein_coding
EG10243,dnaQ,236067,236798,+,protein_coding
EG30025,aspV,236931,237007,+,protein_coding
G6101,yafT,237335,238120,+,protein_coding
G0-10583,ykfM,238257,238736,-,protein_coding
G0-8896,C0067,238462,238586,+,protein_coding
G6102,yafU,238746,239084,-,protein_coding
G0-10431,yafF,239190,239378,+,protein_coding
G6103,yafV,239419,240189,-,protein_coding
G6104,ivy,240343,240816,+,protein_coding
G6105,fadE,240859,243303,-,protein_coding
G6106,gmhA,243543,244121,+,protein_coding
G6107,yafJ,244327,245094,+,protein_coding
G6108,dpaA,245065,245805,-,protein_coding
G6109,yafQ,245961,246239,-,protein_coding
G6110,dinJ,246242,246502,-,protein_coding
G6111,yafL,246712,247461,+,protein_coding
G6112,rayT,247637,248134,+,protein_coding
G6113,lfhA,248358,250070,-,protein_coding
G6114,lafU,250072,250827,+,protein_coding
G6115,dinB,250898,251953,+,protein_coding
G6116,yafN,252005,252298,+,protein_coding
G6117,yafO,252301,252699,+,protein_coding
G6118,yafP,252709,253161,+,protein_coding
G6119,ykfJ,253467,253733,+,protein_coding
EG11496,prfH,253702,254202,+,protein_coding
EG10695,pepD,254259,255716,-,protein_coding
EG10414,gpt,255977,256435,+,protein_coding
EG11091,frsA,256527,257771,+,protein_coding
G0-16637,insB9,257923,258426,-,protein_coding
G0-16638,insA9,258345,258620,-,protein_coding
EG10729,phoE,259045,260100,-,protein_coding
EG10768,proB,260388,261491,+,protein_coding
EG10767,proA,261503,262756,+,protein_coding
EG30104,thrW,262871,262946,+,protein_coding
G0-16715,ykfN,263150,263212,-,protein_coding
G6120,ykfI,263328,263669,-,protein_coding
G6121,yafW,263690,264007,-,protein_coding
G0-10432,ykfH,264026,264247,-,protein_coding
G6122,ykfG,264256,264732,-,protein_coding
G6123,yafX,264748,265206,-,protein_coding
G6124,ykfF,265304,265543,-,protein_coding
G6125,ykfB,265620,266087,-,protein_coding
G6126,yafY,266110,266553,-,protein_coding
G0-10614,ykfL,266553,266774,-,protein_coding
G0-10615,ykfK,266776,266967,-,protein_coding
G6127,yafZ,267184,268005,-,protein_coding
G6128,ykfA,268097,268960,-,protein_coding
G6129,perR,269289,270182,-,protein_coding
G6131,insI1,270603,271754,+,protein_coding
G0-10696,eyeA,272580,272654,+,protein_coding
G6133,ykfC,272847,273992,+,protein_coding
G6134,insH1,274101,275081,-,protein_coding
G6135,mmuP,275325,276728,+,protein_coding
G6136,mmuM,276715,277647,+,protein_coding
EG12340,afuC,277756,278802,-,protein_coding
G6137,afuB,278814,279162,-,protein_coding
G0-10537,insAB2,279178,279875,-,protein_coding
G6138,insB2,279178,279681,-,protein_coding
G6139,insA2,279600,279875,-,protein_coding
G0-16679,insI2,279931,280104,+,protein_coding
G0-10433,insX,280114,280362,-,protein_coding
EG12339,yagB,280385,280735,-,protein_coding
EG12338,yagA,280829,281983,-,protein_coding
G6140,yagE,282278,283186,+,protein_coding
G6141,yagF,283201,285168,+,protein_coding
G6142,yagG,285395,286777,+,protein_coding
G6143,yagH,286789,288399,+,protein_coding
G6144,xynR,288404,289162,-,protein_coding
EG10067,argF,289301,290305,-,protein_coding
G0-17012,argL,290275,290370,-,protein_coding
G0-16674,ykgS,290510,290638,+,protein_coding
G0-10538,insAB3,290649,291346,-,protein_coding
G6145,insB3,290649,291152,-,protein_coding
G6146,insA3,291071,291346,-,protein_coding
G6147,yagJ,291500,292231,+,protein_coding
G6148,yagK,292322,292948,-,protein_coding
G6149,yagL,293220,293918,-,protein_coding
G6150,yagM,293945,294799,-,protein_coding
G0-16724,ykgV,294918,295142,-,protein_coding
G6151,yagN,295139,295579,-,protein_coding
G6152,intF,295696,297096,-,protein_coding
G0-10738,nc1,297137,297304,-,protein_coding
G6153,yagP,297381,297791,-,protein_coding
G6154,paoD,297770,298726,-,protein_coding
G6155,paoC,298736,300934,-,protein_coding
G6156,paoB,300931,301887,-,protein_coding
G6157,paoA,301884,302573,-,protein_coding
G6158,yagU,302991,303605,+,protein_coding
G6159,ykgJ,303853,304182,-,protein_coding
G6160,ecpE,304495,305205,-,protein_coding
G6161,ecpD,305174,306817,-,protein_coding
G6162,ecpC,306807,309332,-,protein_coding
G6163,ecpB,309358,310026,-,protein_coding
G6164,ecpA,310084,310671,-,protein_coding
G6165,matA,310746,311336,-,protein_coding
G6166,ykgL,312112,312339,+,protein_coding
G0-10434,ykgO,312374,312514,-,protein_coding
G6167,ykgM,312514,312777,-,protein_coding
G0-10654,ykgR,313141,313242,-,protein_coding
G0-16716,ykgP,313716,313805,-,protein_coding
EG12161,eaeH,314357,315244,+,protein_coding
G0-10525,insEF1,315291,316453,+,protein_coding
G6168,insE1,315291,315590,+,protein_coding
G6169,insF1,315587,316453,+,protein_coding
G6170,ykgA,316450,317136,-,protein_coding
G0-10682,ykgQ,317439,317567,+,protein_coding
G6171,rclC,317726,318319,-,protein_coding
G6173,rclB,318331,318567,-,protein_coding
G6174,rclA,318676,320001,-,protein_coding
G6175,rclR,320227,321081,+,protein_coding
G6176,ykgE,321608,322327,+,protein_coding
G6177,ykgF,322338,323765,+,protein_coding
G6178,ykgG,323758,324453,+,protein_coding
G6179,b0309,324408,324620,-,protein_coding
G6180,ykgH,324696,325364,-,protein_coding
EG10109,betA,325577,327247,-,protein_coding
EG10110,betB,327261,328733,-,protein_coding
EG10111,betI,328747,329334,-,protein_coding
EG10112,betT,329463,331496,+,protein_coding
G0-16725,yahV,331802,331876,+,protein_coding
EG11236,pdeL,332371,333459,+,protein_coding
G6181,yahB,333501,334433,-,protein_coding
G6182,yahC,334525,335022,-,protein_coding
G6183,yahD,335280,335885,+,protein_coding
G6184,yahE,335925,336788,+,protein_coding
G6185,yahF,336778,338325,+,protein_coding
G6186,yahG,338325,339743,+,protein_coding
G0-10550,yahH,339769,340089,+,protein_coding
G6188,yahI,340165,341115,+,protein_coding
G6189,yahJ,341125,342507,+,protein_coding
G6190,yahK,342884,343933,+,protein_coding
G6191,yahL,344176,344991,+,protein_coding
G0-17126,xtpA,345252,345434,+,protein_coding
G6192,yahM,345404,345649,+,protein_coding
G6193,yahN,345666,346337,-,protein_coding
G6194,yahO,346484,346759,+,protein_coding
G6195,prpR,346857,348443,-,protein_coding
G6196,prpB,348682,349572,+,protein_coding
G6198,prpC,350012,351181,+,protein_coding
G6199,prpD,351215,352666,+,protein_coding
G6200,prpE,352706,354592,+,protein_coding
EG11327,codB,354922,356181,+,protein_coding
EG11326,codA,356171,357454,+,protein_coding
EG11421,cynR,357791,358690,-,protein_coding
EG10176,cynT,358799,359458,+,protein_coding
EG10175,cynS,359489,359959,+,protein_coding
EG10177,cynX,359992,361146,+,protein_coding
EG10524,lacA,361249,361860,-,protein_coding
EG10526,lacY,361926,363179,-,protein_coding
EG10527,lacZ,363231,366305,-,protein_coding
EG10525,lacI,366428,367510,-,protein_coding
G6201,mhpR,367587,368420,-,protein_coding
M010,mhpA,368611,370275,+,protein_coding
M011,mhpB,370277,371221,+,protein_coding
M012,mhpC,371239,372105,+,protein_coding
M013,mhpD,372115,372924,+,protein_coding
M014,mhpF,372921,373871,+,protein_coding
G6205,mhpE,373868,374881,+,protein_coding
G6206,mhpT,375459,376670,+,protein_coding
G6207,yaiL,376772,377311,+,protein_coding
G6208,frmB,377535,378368,-,protein_coding
EG50010,frmA,378462,379571,-,protein_coding
G6209,frmR,379606,379881,-,protein_coding
G6210,yaiO,380069,380842,-,protein_coding
G0-10541,insCD1,381351,382579,+,protein_coding
G6212,insC1,381351,381716,+,protein_coding
G6213,insD1,381674,382579,+,protein_coding
G6215,yaiP,382739,383935,-,protein_coding
G0-16726,ykiC,383960,384079,+,protein_coding
G6216,yaiS,384059,384616,-,protein_coding
G6217,tauA,385232,386194,+,protein_coding
G6218,tauB,386207,386974,+,protein_coding
G6219,tauC,386971,387798,+,protein_coding
EG12423,tauD,387795,388646,+,protein_coding
EG10428,hemB,388753,389727,-,protein_coding
G6221,ykiB,389897,390115,-,protein_coding
G0-17013,ytiB,391592,391648,-,protein_coding
G0-10529,insEF2,391739,392901,-,protein_coding
G6223,insF2,391739,392605,-,protein_coding
G6224,insE2,392602,392901,-,protein_coding
G6226,iprA,394506,395129,+,protein_coding
EG12867,ampH,395130,396287,-,protein_coding
EG10928,sbmA,396639,397859,+,protein_coding
G6227,yaiW,397872,398966,+,protein_coding
G6228,yaiY,399025,399333,-,protein_coding
G6229,yaiZ,399593,399805,+,protein_coding
EG10213,ddlA,399829,400923,-,protein_coding
EG11256,iraP,401386,401646,+,protein_coding
EG10727,phoA,401747,403162,+,protein_coding
EG11401,psiF,403281,403601,+,protein_coding
EG11257,dgcC,403703,404818,+,protein_coding
EG10769,proC,404835,405644,-,protein_coding
G6230,yaiI,405764,406222,+,protein_coding
EG10082,aroL,406405,406929,+,protein_coding
EG11093,yaiA,406979,407170,+,protein_coding
EG10083,aroM,407428,408105,+,protein_coding
EG12159,ppnP,408177,408461,+,protein_coding
G6231,ykiA,408609,408950,+,protein_coding
G0-16727,ykiD,408947,409030,+,protein_coding
EG12158,rdgC,409108,410019,-,protein_coding
EG11288,mak,410144,411052,+,protein_coding
EG10060,araJ,411297,412481,-,protein_coding
EG10927,sbcC,412607,415753,-,protein_coding
EG11094,sbcD,415750,416952,-,protein_coding
EG10728,phoB,417142,417831,+,protein_coding
EG10733,phoR,417889,419184,+,protein_coding
EG12168,brnQ,419591,420910,+,protein_coding
G6233,proY,420986,422359,+,protein_coding
EG10565,malZ,422518,424332,+,protein_coding
EG11095,acpH,424337,424918,-,protein_coding
EG10812,queA,425011,426081,+,protein_coding
EG10996,tgt,426137,427264,+,protein_coding
EG11096,yajC,427287,427619,+,protein_coding
EG10938,secD,427647,429494,+,protein_coding
EG10940,secF,429505,430476,+,protein_coding
EG11097,yajD,430605,430952,+,protein_coding
EG11035,tsx,431129,432013,-,protein_coding
EG12874,yajI,432312,432851,-,protein_coding
EG11320,nrdR,433002,433451,+,protein_coding
EG11321,ribD,433455,434558,+,protein_coding
EG11322,ribE,434647,435117,+,protein_coding
EG10666,nusB,435137,435556,+,protein_coding
G6234,thiL,435634,436611,+,protein_coding
EG10704,pgpA,436589,437107,+,protein_coding
G6236,yajO,437161,438135,-,protein_coding
G6237,dxs,438315,440177,-,protein_coding
EG10508,ispA,440202,441101,-,protein_coding
EG11098,xseB,441101,441343,-,protein_coding
G6238,thiI,441549,442997,+,protein_coding
G198,yajL,443051,443641,-,protein_coding
G6239,panE,443604,444515,-,protein_coding
G6240,yajQ,444683,445174,+,protein_coding
G6241,yajR,445302,446666,-,protein_coding
EG10182,cyoE,446815,447705,-,protein_coding
EG10181,cyoD,447717,448046,-,protein_coding
EG10180,cyoC,448046,448660,-,protein_coding
EG10179,cyoB,448650,450641,-,protein_coding
EG10178,cyoA,450663,451610,-,protein_coding
EG12183,ampG,452070,453545,-,protein_coding
EG12182,yajG,453589,454167,-,protein_coding
EG10125,bolA,454472,454789,+,protein_coding
EG11003,tig,455133,456431,+,protein_coding
EG10158,clpP,456677,457300,+,protein_coding
EG10159,clpX,457426,458700,+,protein_coding
G0-8861,sraA,458728,458784,-,protein_coding
EG10542,lon,458888,461242,+,protein_coding
EG10467,hupB,461451,461723,+,protein_coding
G6242,ppiD,461915,463786,+,protein_coding
G6243,ybaV,463937,464308,+,protein_coding
G6244,fadM,464402,464800,+,protein_coding
G6245,queC,464852,465547,-,protein_coding
EG13217,ybaE,465612,467312,-,protein_coding
G6246,cof,467412,468230,+,protein_coding
G6247,decR,468383,468841,+,protein_coding
G6248,mdlA,468871,470643,+,protein_coding
EG11622,mdlB,470636,472417,+,protein_coding
EG12191,glnK,472598,472936,+,protein_coding
EG11821,amtB,472966,474252,+,protein_coding
EG10995,tesB,474301,475161,-,protein_coding
G6250,ybaY,475379,475951,+,protein_coding
G6251,ybaZ,475982,476371,-,protein_coding
EG30027,ffs,476448,476561,+,protein_coding
EG11099,ybaA,476672,477025,+,protein_coding
G6252,pdeB,477067,478617,-,protein_coding
G6253,ylaC,478781,479251,-,protein_coding
G58,maa,479367,479918,-,protein_coding
