Site	Left	Right	Strand	Transcription-Units	Common-Name
AaeR DNA-binding-site regulating aaeXp			-	aaeXAB	
AccB DNA-binding-site regulating accBp1			+	accBC	
AcrR DNA-binding-site 22.5 bases downstream of acrRp	485709	485733		acrR // acrAB	
AcrR DNA-binding-site 25.5 bases upstream of soxSp	4277444	4277454		soxS // soxR	
AcrR DNA-binding-site 31.5 bases upstream of flhDp	1978422	1978432	-	flhDC	
AcrR DNA-binding-site 40.5 bases upstream of marRp	1619048	1619058	+	marRAB	
AcrR DNA-binding-site 41 bases downstream of micFp2	2313112	2313136	+	micF // micF	
AcrR-proflavin DNA-binding-site (BS0-10740)	1360962	1360986			
AcrR-proflavin DNA-binding-site 107.5 bases downstream of mdtJp	1673661	1673685	-	mdtUJI	
AcrR-proflavin DNA-binding-site 63.5 bases downstream of mdtJp	1673705	1673729	-	mdtUJI	
Ada DNA-binding-site 38.5 bases upstream of adap2	2310454	2310478	-	ada-alkB // ada-alkB	
Ada DNA-binding-site 41.5 bases upstream of alkAp2	2147589	2147613	-	alkA // alkA	
Ada DNA-binding-site 53.5 bases upstream of aidBp2	4414182	4414206	+	aidB // aidB	
Ada DNA-binding-site 58.5 bases upstream of adap2	2310474	2310498	-	ada-alkB // ada-alkB	
AdiY DNA-binding-site (BS0-11039)					
AdiY DNA-binding-site regulating adiAp			-	adiA	
AdiY DNA-binding-site regulating gadAp2			-	gadAX // gadAX	
AdiY DNA-binding-site regulating gadBp2			-	gadBC // gadBC	
AdiY DNA-binding-site regulating gltBp2			+	gltBDF // gltBDF	
AgaR DNA-binding-site 19.5 bases upstream of agaRp	3278713	3278733	-	agaR	
AgaR DNA-binding-site 21.5 bases upstream of agaSp	3281858	3281878	+	agaSYBCDI	
AgaR DNA-binding-site 211.5 bases upstream of agaSp	3281668	3281688	+	agaSYBCDI	
AgaR DNA-binding-site 22.5 bases downstream of agaSp	3281901	3281921	+	agaSYBCDI	
AgaR DNA-binding-site 274.5 bases upstream of agaSp	3281605	3281625	+	agaSYBCDI	
AgaR DNA-binding-site 3.5 bases downstream of kbaZp	3278859	3278879	+	kbaZ-agaVWA	
AgaR DNA-binding-site 31.5 bases upstream of kbaZp	3278825	3278845	+	kbaZ-agaVWA	
AgaR DNA-binding-site 52.5 bases upstream of agaSp	3281827	3281847	+	agaSYBCDI	
AgaR DNA-binding-site 75.5 bases upstream of kbaZp	3278781	3278801	+	kbaZ-agaVWA	
AgaR DNA-binding-site 8.5 bases downstream of agaRp	3278686	3278706	-	agaR	
AgaR DNA-binding-site 94.5 bases upstream of agaSp	3281785	3281805	+	agaSYBCDI	
AidB DNA-binding-site 48 bases upstream of aidBp2	4414186	4414212	+	aidB // aidB	
AlaS-L-alanine DNA-binding transcriptional repressor DNA-binding-site 6.5 bases upstream of alaSp	2822080	2822114	-	alaS	
AllR-allantoin DNA-binding-site 20 bases upstream of gclp	533879	533896	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	
AllR-allantoin DNA-binding-site 37 bases upstream of allSp	532329	532346		allS // allA	
AlsR DNA-binding-site regulating alsRp1			-	alsRBACE	
AlsR DNA-binding-site regulating alsRp2			-	alsRBACE	
AlsR DNA-binding-site regulating rpiBp			+	rpiB	
AppY DNA-binding-site regulating appCp2			+	appCBA-yccB // appCBA-yccB	
AppY DNA-binding-site regulating hyaAp2			+	hyaABCDEF // hyaABCDEF	
AraC DNA-binding-site 128 bases downstream of araCp	70342	70359		araC // araBAD	
AraC DNA-binding-site 84 bases upstream of araCp	70131	70148		araC // araBAD	
AraC DNA-binding-site regulating gafABCD	4449772	4449791	+	gafABCD	
AraC-arabinose DNA-binding-site 10 bases upstream of araCp	70205	70222		araC // araBAD	
AraC-arabinose DNA-binding-site 105 bases upstream of araCp	70110	70127		araC // araBAD	
AraC-arabinose DNA-binding-site 145 bases upstream of araFp3	1986375	1986392	-	araFGH // araFGH	
